user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101114_493533941002508_3271004001226719232_n.jpg,http://picbear.com/media/1639223036236621447_307883229,November 08 2017 - 12:21,November 02 2017 - 16:50,<p>Last day of classes 😢😢 love y’all 💛💛💛</p>,70,3
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709095_398467337236843_1291198762680582144_n.jpg,http://picbear.com/media/1633360701651446313_307883229,November 08 2017 - 12:21,October 25 2017 - 14:43,<p>Last ever awards night!!! Ft. Kitty and my shitty photog 😄😄</p>,67,6
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22157524_121712998544301_8646616194528313344_n.jpg,http://picbear.com/media/1617956467552378458_307883229,November 08 2017 - 12:21,October 04 2017 - 08:37,<p>AAAGGGHHHH KINKY BOOTS WAS SO GOOD!! 👠👠</p>,66,2
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22071273_2067683686793731_7522540257217085440_n.jpg,http://picbear.com/media/1616709165336757976_307883229,November 08 2017 - 12:21,October 02 2017 - 15:19,"<p>The one constant thing since I was 6 is going to be over in a matter of weeks. It’s hard to fathom how we’re all going to cope without the routine of waking up everyday and knowing what we’re doing, where we’re going, what we’re aiming for and no matter how much I’ve said that I hate school, I know that I’m going to miss it... maybe not aaallll of it but most of it. I’ve never liked change but everyone goes through this so I guess I’ll be aight 😂😂</p>",71,1
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069685_130382310947697_8639228459937169408_n.jpg,http://picbear.com/media/1615302257187031327_307883229,November 08 2017 - 12:21,September 30 2017 - 16:44,<p>I always get so emotional over fireworks ahah</p>,65,0
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980444_1586708248056009_5605874177543241728_n.jpg,http://picbear.com/media/1612989760425566533_307883229,November 08 2017 - 12:21,September 27 2017 - 12:09,<p>💛💛💛</p>,75,6
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21690612_496630794033479_1115179835975532544_n.jpg,http://picbear.com/media/1606566925209541169_307883229,November 08 2017 - 12:21,September 18 2017 - 15:28,<p>In the city 🌃</p>,56,2
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21107739_114481325884394_4356427401832431616_n.jpg,http://picbear.com/media/1589525614925361072_307883229,November 08 2017 - 12:21,August 26 2017 - 03:10,<p>A relic</p>,73,2
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19984903_1930051493938601_1713526556208398336_n.jpg,http://picbear.com/media/1559489877697950290_307883229,November 08 2017 - 12:21,July 15 2017 - 16:35,"<p>Cgen 2k17 Big Band and Brass section (most of it...) 💛💛 <a href=""http://picbear.com/tag/cgen2017"" title=""posts tagged as cgen2017"">#cgen2017</a> • • • 📸- <a href=""http://picbear.com/stevenbryer"" title=""stevenbryer instagram profile"">@stevenbryer</a></p>",84,0
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/19985537_270544306758532_6206373720068456448_n.jpg,http://picbear.com/media/1559476380847140478_307883229,November 08 2017 - 12:21,July 15 2017 - 16:08,"<p>Thanks for making this week amazing 💕💕 gunna miss y'all <a href=""http://picbear.com/tag/cgen2017"" title=""posts tagged as cgen2017"">#cgen2017</a></p>",72,3
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19436370_100221330618111_4100882371048374272_n.jpg,http://picbear.com/media/1548463327712137273_307883229,November 08 2017 - 12:21,June 30 2017 - 11:27,<p>The post MOST depression is reeeaaalll...I'm so happy to have made so many new friends and memories. It's an experience I'll never forget 💕💕</p>,65,7
November 08 2017 - 12:21,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19535286_1961172640764999_2332471011879944192_n.jpg,http://picbear.com/media/1547088490662149856_307883229,November 08 2017 - 12:22,June 28 2017 - 13:55,<p>Big band was mint 👌👌</p>,71,0
