user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101092_992332904237804_3565845568997556224_n.jpg,http://picbear.com/media/1640665235427709384_926189757,November 08 2017 - 11:41,November 04 2017 - 16:35,"<p>Andar de ônibus e tirar fotos dos Lugares hshshsb <a href=""http://picbear.com/tag/igbrasil"" title=""posts tagged as igbrasil"">#igbrasil</a> <a href=""http://picbear.com/tag/dicasportoalegre"" title=""posts tagged as dicasportoalegre"">#dicasportoalegre</a> <a href=""http://picbear.com/tag/poa"" title=""posts tagged as poa"">#poa</a> <a href=""http://picbear.com/tag/av"" title=""posts tagged as av"">#av</a> <a href=""http://picbear.com/tag/bentogonçalves"" title=""posts tagged as bentogonçalves"">#bentogonçalves</a> <a href=""http://picbear.com/tag/partenon"" title=""posts tagged as partenon"">#partenon</a> <a href=""http://picbear.com/tag/portoalegreoficial"" title=""posts tagged as portoalegreoficial"">#portoalegreoficial</a> <a href=""http://picbear.com/dicasportoalegre"" title=""dicasportoalegre instagram profile"">@dicasportoalegre</a> <a href=""http://picbear.com/poacult"" title=""poacult instagram profile"">@poacult</a> <a href=""http://picbear.com/igerspoa"" title=""igerspoa instagram profile"">@igerspoa</a> <a href=""http://picbear.com/portoalegreoficial"" title=""portoalegreoficial instagram profile"">@portoalegreoficial</a> <a href=""http://picbear.com/amorporpoa"" title=""amorporpoa instagram profile"">@amorporpoa</a></p>",36,0
November 08 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794445_329173307492301_4664196417437302784_n.jpg,http://picbear.com/media/1634485045873990529_926189757,November 08 2017 - 11:41,October 27 2017 - 03:57,"<p><a href=""http://picbear.com/tag/igbrasil"" title=""posts tagged as igbrasil"">#igbrasil</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_poa <a href=""http://picbear.com/tag/portoalegreoficial"" title=""posts tagged as portoalegreoficial"">#portoalegreoficial</a> <a href=""http://picbear.com/tag/dicasportoalegre"" title=""posts tagged as dicasportoalegre"">#dicasportoalegre</a> <a href=""http://picbear.com/tag/amorpoa"" title=""posts tagged as amorpoa"">#amorpoa</a> <a href=""http://picbear.com/tag/poacult"" title=""posts tagged as poacult"">#poacult</a> <a href=""http://picbear.com/tag/redenção"" title=""posts tagged as redenção"">#redenção</a></p>",43,3
November 08 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c130.0.819.819/22708752_140518456587285_3530153939796230144_n.jpg,http://picbear.com/media/1632603767838903906_926189757,November 08 2017 - 11:41,October 24 2017 - 13:39,"<p><a href=""http://picbear.com/tag/3"" title=""posts tagged as 3"">#3</a> <a href=""http://picbear.com/tag/centro"" title=""posts tagged as centro"">#centro</a> <a href=""http://picbear.com/tag/poa"" title=""posts tagged as poa"">#poa</a> <a href=""http://picbear.com/tag/portoalegreoficial"" title=""posts tagged as portoalegreoficial"">#portoalegreoficial</a> <a href=""http://picbear.com/tag/igbrasil"" title=""posts tagged as igbrasil"">#igbrasil</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_poa <a href=""http://picbear.com/tag/igrspoa"" title=""posts tagged as igrspoa"">#igrspoa</a> <a href=""http://picbear.com/tag/dicasportoalegre"" title=""posts tagged as dicasportoalegre"">#dicasportoalegre</a> <a href=""http://picbear.com/tag/vistadoalto"" title=""posts tagged as vistadoalto"">#vistadoalto</a> <a href=""http://picbear.com/tag/santacruz"" title=""posts tagged as santacruz"">#santacruz</a> <a href=""http://picbear.com/tag/brstreet"" title=""posts tagged as brstreet"">#brstreet</a> <a href=""http://picbear.com/tag/3anos"" title=""posts tagged as 3anos"">#3anos</a></p>",38,0
November 08 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710362_141639906463339_6753452399236481024_n.jpg,http://picbear.com/media/1632163842819640482_926189757,November 08 2017 - 11:41,October 23 2017 - 23:05,"<p><a href=""http://picbear.com/tag/2"" title=""posts tagged as 2"">#2</a> <a href=""http://picbear.com/tag/poa"" title=""posts tagged as poa"">#poa</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_poa <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_cidades <a href=""http://picbear.com/tag/igbrasil"" title=""posts tagged as igbrasil"">#igbrasil</a> <a href=""http://picbear.com/tag/portoalegreoficial"" title=""posts tagged as portoalegreoficial"">#portoalegreoficial</a> <a href=""http://picbear.com/tag/dicasportoalegre"" title=""posts tagged as dicasportoalegre"">#dicasportoalegre</a> <a href=""http://picbear.com/tag/brstreet"" title=""posts tagged as brstreet"">#brstreet</a> <a href=""http://picbear.com/tag/3anos"" title=""posts tagged as 3anos"">#3anos</a></p>",35,0
November 08 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c81.0.917.917/22639133_372394466520118_7606512245152940032_n.jpg,http://picbear.com/media/1632162158555044519_926189757,November 08 2017 - 11:41,October 23 2017 - 23:01,"<p>🏙️🕌🌆🌃🌁 <a href=""http://picbear.com/tag/1"" title=""posts tagged as 1"">#1</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_cidades <a href=""http://picbear.com/tag/igbrasil"" title=""posts tagged as igbrasil"">#igbrasil</a> <a href=""http://picbear.com/tag/poa"" title=""posts tagged as poa"">#poa</a> <a href=""http://picbear.com/tag/poacult"" title=""posts tagged as poacult"">#poacult</a> <a href=""http://picbear.com/tag/portoalegreoficial"" title=""posts tagged as portoalegreoficial"">#portoalegreoficial</a> <a href=""http://picbear.com/tag/dicasportoalegre"" title=""posts tagged as dicasportoalegre"">#dicasportoalegre</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_poa</p>",33,2
November 08 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.106.1080.1080/22157339_899021540250451_1092555296879935488_n.jpg,http://picbear.com/media/1618179700734190744_926189757,November 08 2017 - 11:41,October 04 2017 - 16:01,"<p><a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_cidades  <a href=""http://picbear.com/tag/igrspoa"" title=""posts tagged as igrspoa"">#igrspoa</a> <a href=""http://picbear.com/tag/poa"" title=""posts tagged as poa"">#poa</a> <a href=""http://picbear.com/tag/cento"" title=""posts tagged as cento"">#cento</a> <a href=""http://picbear.com/tag/igbrasil"" title=""posts tagged as igbrasil"">#igbrasil</a> <a href=""http://picbear.com/tag/portoalegreoficial"" title=""posts tagged as portoalegreoficial"">#portoalegreoficial</a> <a href=""http://picbear.com/tag/brstreet"" title=""posts tagged as brstreet"">#brstreet</a> <a href=""http://picbear.com/tag/3anos"" title=""posts tagged as 3anos"">#3anos</a></p>",60,2
November 08 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22158090_155822201670560_3511209934270234624_n.jpg,http://picbear.com/media/1617053618718969382_926189757,November 08 2017 - 11:41,October 03 2017 - 02:43,"<p><a href=""http://picbear.com/tag/mercadopublico"" title=""posts tagged as mercadopublico"">#mercadopublico</a> <a href=""http://picbear.com/tag/centro"" title=""posts tagged as centro"">#centro</a> <a href=""http://picbear.com/tag/centrohistorico"" title=""posts tagged as centrohistorico"">#centrohistorico</a> <a href=""http://picbear.com/tag/poa"" title=""posts tagged as poa"">#poa</a> <a href=""http://picbear.com/tag/brasil"" title=""posts tagged as brasil"">#brasil</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_cidades <a href=""http://picbear.com/tag/igrspoa"" title=""posts tagged as igrspoa"">#igrspoa</a></p>",51,1
November 08 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980765_1492630994162180_4014434978711470080_n.jpg,http://picbear.com/media/1613340328147017051_926189757,November 08 2017 - 11:41,September 27 2017 - 23:46,"<p><a href=""http://picbear.com/tag/igrspoa"" title=""posts tagged as igrspoa"">#igrspoa</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_cidades <a href=""http://picbear.com/tag/portoalegreoficial"" title=""posts tagged as portoalegreoficial"">#portoalegreoficial</a> <a href=""http://picbear.com/tag/poa"" title=""posts tagged as poa"">#poa</a> <a href=""http://picbear.com/tag/poacult"" title=""posts tagged as poacult"">#poacult</a> <a href=""http://picbear.com/tag/caff"" title=""posts tagged as caff"">#caff</a> <a href=""http://picbear.com/tag/igbrasil"" title=""posts tagged as igbrasil"">#igbrasil</a></p>",65,0
November 08 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827875_1584491321588927_7811836837525192704_n.jpg,http://picbear.com/media/1609139227134724368_926189757,November 08 2017 - 11:41,September 22 2017 - 04:39,"<p><a href=""http://picbear.com/tag/prefeitura"" title=""posts tagged as prefeitura"">#prefeitura</a> <a href=""http://picbear.com/tag/poa"" title=""posts tagged as poa"">#poa</a> <a href=""http://picbear.com/tag/rs"" title=""posts tagged as rs"">#rs</a> <a href=""http://picbear.com/tag/igrspoa"" title=""posts tagged as igrspoa"">#igrspoa</a></p>",54,2
November 08 2017 - 11:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21878898_1298456556932873_7456066949592645632_n.jpg,http://picbear.com/media/1608933190280540886_926189757,November 08 2017 - 11:41,September 21 2017 - 21:50,"<p><a href=""http://picbear.com/tag/portoalegre"" title=""posts tagged as portoalegre"">#portoalegre</a> <a href=""http://picbear.com/tag/brstreet"" title=""posts tagged as brstreet"">#brstreet</a> <a href=""http://picbear.com/tag/igrspoa"" title=""posts tagged as igrspoa"">#igrspoa</a>  Avenida Mauá</p>",50,6
