user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23279900_1998181333792125_198130247273545728_n.jpg,http://picbear.com/media/1642205837572011794_4068117856,November 08 2017 - 12:25,November 06 2017 - 19:36,<p>PC.by ?</p>,41,0
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164384_1512323762179267_6661263262690050048_n.jpg,http://picbear.com/media/1641309245977618401_4068117856,November 08 2017 - 12:25,November 05 2017 - 13:55,<p>DSLR📷</p>,50,2
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23161763_128575711122286_5609904458889691136_n.jpg,http://picbear.com/media/1641239033219592640_4068117856,November 08 2017 - 12:25,November 05 2017 - 11:36,<p>Trip to ??</p>,45,0
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101232_301955143652324_3880191914699390976_n.jpg,http://picbear.com/media/1641231807641721068_4068117856,November 08 2017 - 12:25,November 05 2017 - 11:21,<p>👕👔👖</p>,40,0
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161505_1530393990372300_4467910596624384000_n.jpg,http://picbear.com/media/1641231237769863147_4068117856,November 08 2017 - 12:25,November 05 2017 - 11:20,,39,0
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279255_624935754563636_4164907049097887744_n.jpg,http://picbear.com/media/1641106721156820500_4068117856,November 08 2017 - 12:25,November 05 2017 - 07:13,,19,0
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101418_150610635671787_8069020436987379712_n.jpg,http://picbear.com/media/1639250818501679461_4068117856,November 08 2017 - 12:25,November 02 2017 - 17:45,<p>I do not insult people😞I do not know why they feel like this.😥😥</p>,36,0
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639592_177743696136151_1920315672299044864_n.jpg,http://picbear.com/media/1628178511100277712_4068117856,November 08 2017 - 12:25,October 18 2017 - 11:07,<p>389😚😚</p>,21,0
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22638786_139305710041572_1346082019452387328_n.jpg,http://picbear.com/media/1625511439815802838_4068117856,November 08 2017 - 12:25,October 14 2017 - 18:48,<p>🆎3⃣8⃣9⃣🆔🔴</p>,46,1
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22639161_1933642090218548_914543952026140672_n.jpg,http://picbear.com/media/1625509295024977997_4068117856,November 08 2017 - 12:25,October 14 2017 - 18:43,<p>Bhai ☺ Bhai☺ 🆎</p>,36,0
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582551_1468068139968970_3639232588557582336_n.jpg,http://picbear.com/media/1621973496459242316_4068117856,November 08 2017 - 12:25,October 09 2017 - 21:38,<p>🔴😎😍😲☺😯🔴 ✔✔✔✔✔✔✔✔ ❌❌❌❌❌❌❌ 👎👎👎👎👎👎👎 ⛩⛩⛩⛩⛩⛩⛩⛩ 🗽🗽🗽🗽🗽🗽🗽 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 🌑. 🌑🌑 🌑🌑 🌑. 🌑. 🌑 🌑. 🌑. 🌑 🌑. 🌑. 🌑. 🌑 🌑. 🌑. 🌑. 🌑 🌑🌑. 🌑. 🌑 🌑. 🌑. 🌑. 🌑 🌑. 🌑. 🌑. 🌑 🌑. 😍😍 🌑 🌑.🌑🌑</p>,47,0
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637597_1125651947569566_1958861221369217024_n.jpg,http://picbear.com/media/1597871986217810448_4068117856,November 08 2017 - 12:25,September 06 2017 - 15:33,,40,8
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22638971_290706464746490_8376395896148983808_n.jpg,http://picbear.com/media/1589118904919019612_4068117856,November 08 2017 - 12:25,August 25 2017 - 13:42,,38,0
November 08 2017 - 12:24,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22637462_359473787815438_8431603865333268480_n.jpg,http://picbear.com/media/1582555411470342845_4068117856,November 08 2017 - 12:25,August 16 2017 - 12:22,<p>Nikon 📷📷📷</p>,37,0
