user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/23164744_163081200952812_4832229574009946112_n.jpg,http://picbear.com/media/1643159951151398828_49472429,November 08 2017 - 11:36,November 08 2017 - 03:12,,22,0
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c101.0.877.877/23164257_145932349469426_6901061530322731008_n.jpg,http://picbear.com/media/1642417000485842140_49472429,November 08 2017 - 11:36,November 07 2017 - 02:36,"<p>Botafogo, Humaitá e Corcovado visto do Morro da Urca <a href=""http://picbear.com/tag/brasil"" title=""posts tagged as brasil"">#brasil</a> <a href=""http://picbear.com/tag/paodeacucar"" title=""posts tagged as paodeacucar"">#paodeacucar</a> <a href=""http://picbear.com/tag/sugarloafmountain"" title=""posts tagged as sugarloafmountain"">#sugarloafmountain</a> <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/morrodaurca"" title=""posts tagged as morrodaurca"">#morrodaurca</a> <a href=""http://picbear.com/tag/cristredeemer"" title=""posts tagged as cristredeemer"">#cristredeemer</a> <a href=""http://picbear.com/tag/riodejaneiro"" title=""posts tagged as riodejaneiro"">#riodejaneiro</a> <a href=""http://picbear.com/tag/carioca"" title=""posts tagged as carioca"">#carioca</a> <a href=""http://picbear.com/tag/praia"" title=""posts tagged as praia"">#praia</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/natureza"" title=""posts tagged as natureza"">#natureza</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/freestyle"" title=""posts tagged as freestyle"">#freestyle</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/tflers"" title=""posts tagged as tflers"">#tflers</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a></p>",77,2
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/23280036_2065222137097534_1593136097460748288_n.jpg,http://picbear.com/media/1642378576248813523_49472429,November 08 2017 - 11:36,November 07 2017 - 01:20,"<p>Bahia de Guanabara vista do Morro da Urca <a href=""http://picbear.com/tag/brasil"" title=""posts tagged as brasil"">#brasil</a> <a href=""http://picbear.com/tag/paodeacucar"" title=""posts tagged as paodeacucar"">#paodeacucar</a> <a href=""http://picbear.com/tag/sugarloafmountain"" title=""posts tagged as sugarloafmountain"">#sugarloafmountain</a> <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/morrodaurca"" title=""posts tagged as morrodaurca"">#morrodaurca</a> <a href=""http://picbear.com/tag/cristredeemer"" title=""posts tagged as cristredeemer"">#cristredeemer</a> <a href=""http://picbear.com/tag/riodejaneiro"" title=""posts tagged as riodejaneiro"">#riodejaneiro</a> <a href=""http://picbear.com/tag/carioca"" title=""posts tagged as carioca"">#carioca</a> <a href=""http://picbear.com/tag/praia"" title=""posts tagged as praia"">#praia</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/natureza"" title=""posts tagged as natureza"">#natureza</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/freestyle"" title=""posts tagged as freestyle"">#freestyle</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/tflers"" title=""posts tagged as tflers"">#tflers</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a></p>",73,5
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c92.0.896.896/23347832_151000292312362_6463218365006610432_n.jpg,http://picbear.com/media/1642299692211998524_49472429,November 08 2017 - 11:36,November 06 2017 - 22:43,"<p>Vista do Pão de Açúcar pelo Cristo Redentor <a href=""http://picbear.com/tag/brasil"" title=""posts tagged as brasil"">#brasil</a> <a href=""http://picbear.com/tag/paodeacucar"" title=""posts tagged as paodeacucar"">#paodeacucar</a> <a href=""http://picbear.com/tag/sugarloafmountain"" title=""posts tagged as sugarloafmountain"">#sugarloafmountain</a> <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/cristoredentor"" title=""posts tagged as cristoredentor"">#cristoredentor</a> <a href=""http://picbear.com/tag/cristredeemer"" title=""posts tagged as cristredeemer"">#cristredeemer</a> <a href=""http://picbear.com/tag/riodejaneiro"" title=""posts tagged as riodejaneiro"">#riodejaneiro</a> <a href=""http://picbear.com/tag/carioca"" title=""posts tagged as carioca"">#carioca</a> <a href=""http://picbear.com/tag/praia"" title=""posts tagged as praia"">#praia</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/natureza"" title=""posts tagged as natureza"">#natureza</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/freestyle"" title=""posts tagged as freestyle"">#freestyle</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/tflers"" title=""posts tagged as tflers"">#tflers</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a></p>",50,1
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/23099226_356167594827823_1694267579255750656_n.jpg,http://picbear.com/media/1638794152680685848_49472429,November 08 2017 - 11:36,November 02 2017 - 02:38,"<p>Armaduras medievais no Instituto Ricardo Brennand - Recife <a href=""http://picbear.com/tag/institutobrennand"" title=""posts tagged as institutobrennand"">#institutobrennand</a> em <a href=""http://picbear.com/tag/recife"" title=""posts tagged as recife"">#recife</a> <a href=""http://picbear.com/tag/brasil"" title=""posts tagged as brasil"">#brasil</a> <a href=""http://picbear.com/tag/museum"" title=""posts tagged as museum"">#museum</a> <a href=""http://picbear.com/tag/museu"" title=""posts tagged as museu"">#museu</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/freestyle"" title=""posts tagged as freestyle"">#freestyle</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/tflers"" title=""posts tagged as tflers"">#tflers</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a></p>",32,2
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23099274_1521155511305332_2911403444847771648_n.jpg,http://picbear.com/media/1638060215415087136_49472429,November 08 2017 - 11:36,November 01 2017 - 02:20,"<p>Marina da Glória - RJ <a href=""http://picbear.com/tag/cidade"" title=""posts tagged as cidade"">#cidade</a> <a href=""http://picbear.com/tag/marinadagloria"" title=""posts tagged as marinadagloria"">#marinadagloria</a> <a href=""http://picbear.com/tag/riodejaneiro"" title=""posts tagged as riodejaneiro"">#riodejaneiro</a> <a href=""http://picbear.com/tag/carioca"" title=""posts tagged as carioca"">#carioca</a> <a href=""http://picbear.com/tag/lagoariodejaneiro"" title=""posts tagged as lagoariodejaneiro"">#lagoariodejaneiro</a> <a href=""http://picbear.com/tag/corcovado"" title=""posts tagged as corcovado"">#corcovado</a> <a href=""http://picbear.com/tag/natureza"" title=""posts tagged as natureza"">#natureza</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/freestyle"" title=""posts tagged as freestyle"">#freestyle</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/tflers"" title=""posts tagged as tflers"">#tflers</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a></p>",45,2
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23099420_1937221376598230_8835617123741990912_n.jpg,http://picbear.com/media/1637362916041104989_49472429,November 08 2017 - 11:36,October 31 2017 - 03:14,"<p><a href=""http://picbear.com/tag/arvore"" title=""posts tagged as arvore"">#arvore</a> <a href=""http://picbear.com/tag/artvisual"" title=""posts tagged as artvisual"">#artvisual</a> <a href=""http://picbear.com/tag/arte"" title=""posts tagged as arte"">#arte</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/ceuazul"" title=""posts tagged as ceuazul"">#ceuazul</a> <a href=""http://picbear.com/tag/artistic"" title=""posts tagged as artistic"">#artistic</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/natureza"" title=""posts tagged as natureza"">#natureza</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/praia"" title=""posts tagged as praia"">#praia</a> <a href=""http://picbear.com/tag/belezanatural"" title=""posts tagged as belezanatural"">#belezanatural</a> <a href=""http://picbear.com/tag/beleza"" title=""posts tagged as beleza"">#beleza</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/swag"" title=""posts tagged as swag"">#swag</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/tflers"" title=""posts tagged as tflers"">#tflers</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a> <a href=""http://picbear.com/tag/tree"" title=""posts tagged as tree"">#tree</a></p>",53,2
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23161103_263403720849980_2162158090961551360_n.jpg,http://picbear.com/media/1637359099593363151_49472429,November 08 2017 - 11:36,October 31 2017 - 03:07,"<p>Praia do Arpoador - Rio de Janeiro <a href=""http://picbear.com/tag/arpoador"" title=""posts tagged as arpoador"">#arpoador</a> <a href=""http://picbear.com/tag/ipanema"" title=""posts tagged as ipanema"">#ipanema</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/riodejaneiro"" title=""posts tagged as riodejaneiro"">#riodejaneiro</a> <a href=""http://picbear.com/tag/carioca"" title=""posts tagged as carioca"">#carioca</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/praia"" title=""posts tagged as praia"">#praia</a> <a href=""http://picbear.com/tag/oceano"" title=""posts tagged as oceano"">#oceano</a> <a href=""http://picbear.com/tag/architecturelovers"" title=""posts tagged as architecturelovers"">#architecturelovers</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/freestyle"" title=""posts tagged as freestyle"">#freestyle</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/tflers"" title=""posts tagged as tflers"">#tflers</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a></p>",57,2
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22858264_216061192266003_1371593077218607104_n.jpg,http://picbear.com/media/1636592453207667226_49472429,November 08 2017 - 11:36,October 30 2017 - 01:44,"<p>Estaçao da Luz - SP <a href=""http://picbear.com/tag/cidade"" title=""posts tagged as cidade"">#cidade</a> <a href=""http://picbear.com/tag/saopaulo"" title=""posts tagged as saopaulo"">#saopaulo</a> <a href=""http://picbear.com/tag/estacaodaluz"" title=""posts tagged as estacaodaluz"">#estacaodaluz</a> <a href=""http://picbear.com/tag/architecture"" title=""posts tagged as architecture"">#architecture</a> <a href=""http://picbear.com/tag/urbanstyle"" title=""posts tagged as urbanstyle"">#urbanstyle</a> <a href=""http://picbear.com/tag/arquitetura"" title=""posts tagged as arquitetura"">#arquitetura</a> <a href=""http://picbear.com/tag/architecturelovers"" title=""posts tagged as architecturelovers"">#architecturelovers</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/freestyle"" title=""posts tagged as freestyle"">#freestyle</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/tflers"" title=""posts tagged as tflers"">#tflers</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a></p>",44,2
November 08 2017 - 11:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.718.718/23098484_373846229712314_5164029039010119680_n.jpg,http://picbear.com/media/1636427006411589355_49472429,November 08 2017 - 11:36,October 29 2017 - 20:15,"<p>Em algum lugar na Bahia <a href=""http://picbear.com/tag/brasil"" title=""posts tagged as brasil"">#brasil</a> <a href=""http://picbear.com/tag/nightshot"" title=""posts tagged as nightshot"">#nightshot</a> <a href=""http://picbear.com/tag/landscape"" title=""posts tagged as landscape"">#landscape</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/bahia"" title=""posts tagged as bahia"">#bahia</a> <a href=""http://picbear.com/tag/natureza"" title=""posts tagged as natureza"">#natureza</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/freestyle"" title=""posts tagged as freestyle"">#freestyle</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a> <a href=""http://picbear.com/tag/tflers"" title=""posts tagged as tflers"">#tflers</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/bestoftheday"" title=""posts tagged as bestoftheday"">#bestoftheday</a> <a href=""http://picbear.com/tag/instamood"" title=""posts tagged as instamood"">#instamood</a></p>",29,2
