user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 12:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/23164538_1717255951681162_2577409474897641472_n.jpg,http://picbear.com/media/1642954948343917750_2778948026,November 08 2017 - 12:22,November 07 2017 - 20:25,"<p>Денни...❤ <a href=""http://picbear.com/tag/любимчикмой"" title=""posts tagged as любимчикмой"">#любимчикмой</a><a href=""http://picbear.com/tag/собака"" title=""posts tagged as собака"">#собака</a></p>",3,3
November 08 2017 - 12:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098480_137073243714453_5107751339501289472_n.jpg,http://picbear.com/media/1638683223599092515_2778948026,November 08 2017 - 12:22,November 01 2017 - 22:58,"<p>Ложусь спать...🛌🏻 <a href=""http://picbear.com/tag/соннаямуха"" title=""posts tagged as соннаямуха"">#соннаямуха</a><a href=""http://picbear.com/tag/фоткананочь"" title=""posts tagged as фоткананочь"">#фоткананочь</a><a href=""http://picbear.com/tag/винстаграм"" title=""posts tagged as винстаграм"">#винстаграм</a></p>",12,1
November 08 2017 - 12:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098903_2035340586694711_5990007526987399168_n.jpg,http://picbear.com/media/1637238814739066680_2778948026,November 08 2017 - 12:22,October 30 2017 - 23:08,"<p>Фоток на новый телефон <a href=""http://picbear.com/tag/селфи"" title=""posts tagged as селфи"">#селфи</a><a href=""http://picbear.com/tag/новыйтелефон"" title=""posts tagged as новыйтелефон"">#новыйтелефон</a><a href=""http://picbear.com/tag/iphone7s"" title=""posts tagged as iphone7s"">#iphone7s</a></p>",6,0
November 08 2017 - 12:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.75.599.599/22858300_1986121931668693_7278124251201142784_n.jpg,http://picbear.com/media/1637234863008525690_2778948026,November 08 2017 - 12:22,October 30 2017 - 23:00,"<p>Одолжила очки у брата... <a href=""http://picbear.com/tag/очки"" title=""posts tagged as очки"">#очки</a><a href=""http://picbear.com/tag/батан"" title=""posts tagged as батан"">#батан</a><a href=""http://picbear.com/tag/хотянет"" title=""posts tagged as хотянет"">#хотянет</a></p>",5,0
November 08 2017 - 12:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857663_1963377463877217_294640485991972864_n.jpg,http://picbear.com/media/1637098646568773453_2778948026,November 08 2017 - 12:22,October 30 2017 - 18:29,,10,2
November 08 2017 - 12:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.99.928.928/22858370_291687431324626_8270230631078690816_n.jpg,http://picbear.com/media/1637097810979708782_2778948026,November 08 2017 - 12:22,October 30 2017 - 18:28,"<p>Красная поляна <a href=""http://picbear.com/tag/Сочи"" title=""posts tagged as Сочи"">#Сочи</a><a href=""http://picbear.com/tag/краснаяполяна"" title=""posts tagged as краснаяполяна"">#краснаяполяна</a><a href=""http://picbear.com/tag/2017"" title=""posts tagged as 2017"">#2017</a>#</p>",8,6
November 08 2017 - 12:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860862_126383728027537_5916275445459845120_n.jpg,http://picbear.com/media/1637095383685626987_2778948026,November 08 2017 - 12:23,October 30 2017 - 18:23,<p>Клубникааааааа!!!🍓#кусочеклета#осень</p>,6,0
November 08 2017 - 12:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637224_748448362008539_8286282654735663104_n.jpg,http://picbear.com/media/1629524695348965513_2778948026,November 08 2017 - 12:23,October 20 2017 - 07:41,<p>❤❤❤ Я помню каким щеночком мы его купили! А сейчас ему уже 1 годик!#собака#люблюего❤</p>,14,1
November 08 2017 - 12:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22351590_177268766157902_7197153526282190848_n.jpg,http://picbear.com/media/1623215343252119821_2778948026,November 08 2017 - 12:23,October 11 2017 - 14:46,"<p><a href=""http://picbear.com/tag/Фотосессия"" title=""posts tagged as Фотосессия"">#Фотосессия</a><a href=""http://picbear.com/tag/дома"" title=""posts tagged as дома"">#дома</a><a href=""http://picbear.com/tag/нечегоделать"" title=""posts tagged as нечегоделать"">#нечегоделать</a>#</p>",13,1
November 08 2017 - 12:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c27.0.480.480/20634037_112291466099230_7392939000584994816_n.jpg,http://picbear.com/media/1578375776208745113_2778948026,November 08 2017 - 12:23,August 10 2017 - 17:57,<p>Всетаки повзрослела... Первый юбилей за плечами</p>,14,0
