user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 11:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23421352_512588559102224_7524045226642505728_n.jpg,http://picbear.com/media/1643097798252325681_1745583050,November 08 2017 - 11:31,November 08 2017 - 01:09,"<p>Bye, Bye Vietnam 👋 until next time. (No typhoon 🌀 next time please!) . . .  <a href=""http://picbear.com/tag/vietnam"" title=""posts tagged as vietnam"">#vietnam</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/travelphotography"" title=""posts tagged as travelphotography"">#travelphotography</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/vacation"" title=""posts tagged as vacation"">#vacation</a> <a href=""http://picbear.com/tag/travelgram"" title=""posts tagged as travelgram"">#travelgram</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/explore"" title=""posts tagged as explore"">#explore</a> <a href=""http://picbear.com/tag/seetheworld"" title=""posts tagged as seetheworld"">#seetheworld</a></p>",49,0
November 08 2017 - 11:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23417208_123883814973285_7262048102712868864_n.jpg,http://picbear.com/media/1642923877267839723_1745583050,November 08 2017 - 11:31,November 07 2017 - 19:23,"<p>She came, she posed, she fluttered her eyes ... and she left 🍌🐵🍌 ... For another. . . .  <a href=""http://picbear.com/tag/monkey"" title=""posts tagged as monkey"">#monkey</a> <a href=""http://picbear.com/tag/cuteness"" title=""posts tagged as cuteness"">#cuteness</a> <a href=""http://picbear.com/tag/vietnam"" title=""posts tagged as vietnam"">#vietnam</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/animal"" title=""posts tagged as animal"">#animal</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/travelphotography"" title=""posts tagged as travelphotography"">#travelphotography</a> <a href=""http://picbear.com/tag/vacation"" title=""posts tagged as vacation"">#vacation</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/travelgram"" title=""posts tagged as travelgram"">#travelgram</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/beautifuldestination"" title=""posts tagged as beautifuldestination"">#beautifuldestination</a></p>",45,4
November 08 2017 - 11:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.413.413/23161753_1627785383909433_8469478153964748800_n.jpg,http://picbear.com/media/1642354008969303135_1745583050,November 08 2017 - 11:31,November 07 2017 - 00:31,"<p>Amazing marble statues carved at the foothills of Marble mountain.  My favorite... Jade unicorns 🦄 . . .  <a href=""http://picbear.com/tag/foundunicorns"" title=""posts tagged as foundunicorns"">#foundunicorns</a> <a href=""http://picbear.com/tag/marble"" title=""posts tagged as marble"">#marble</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/travelphotography"" title=""posts tagged as travelphotography"">#travelphotography</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/vacay"" title=""posts tagged as vacay"">#vacay</a> <a href=""http://picbear.com/tag/vacation"" title=""posts tagged as vacation"">#vacation</a> <a href=""http://picbear.com/tag/vietnam"" title=""posts tagged as vietnam"">#vietnam</a> <a href=""http://picbear.com/tag/beautifuldestination"" title=""posts tagged as beautifuldestination"">#beautifuldestination</a> <a href=""http://picbear.com/tag/explore"" title=""posts tagged as explore"">#explore</a> <a href=""http://picbear.com/tag/marblemoutain"" title=""posts tagged as marblemoutain"">#marblemoutain</a></p>",107,7
November 08 2017 - 11:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23279604_130473494382947_4467596333867335680_n.jpg,http://picbear.com/media/1642345510000665638_1745583050,November 08 2017 - 11:31,November 07 2017 - 00:14,"<p>Lady Buddah inside Thug Son (water) cave of Marble mountain.  There are 5 mountains each named after 5 elements Metal - Water - Wood - Fire - Earth. . . .  <a href=""http://picbear.com/tag/vietnam"" title=""posts tagged as vietnam"">#vietnam</a> <a href=""http://picbear.com/tag/travelphotography"" title=""posts tagged as travelphotography"">#travelphotography</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/vacation"" title=""posts tagged as vacation"">#vacation</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/explore"" title=""posts tagged as explore"">#explore</a> <a href=""http://picbear.com/tag/spiritual"" title=""posts tagged as spiritual"">#spiritual</a> <a href=""http://picbear.com/tag/vacay"" title=""posts tagged as vacay"">#vacay</a></p>",72,0
November 08 2017 - 11:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279372_376929556096940_2857136627552092160_n.jpg,http://picbear.com/media/1642319998423528505_1745583050,November 08 2017 - 11:31,November 06 2017 - 23:23,"<p>Staircase to cave of the Thuy Son (water)  mountain,  which date back to 17th C.  <a href=""http://picbear.com/tag/vietnam"" title=""posts tagged as vietnam"">#vietnam</a> <a href=""http://picbear.com/tag/explore"" title=""posts tagged as explore"">#explore</a> <a href=""http://picbear.com/tag/mountains"" title=""posts tagged as mountains"">#mountains</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/vacay"" title=""posts tagged as vacay"">#vacay</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/travelphotography"" title=""posts tagged as travelphotography"">#travelphotography</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/traveller"" title=""posts tagged as traveller"">#traveller</a> <a href=""http://picbear.com/tag/worldtraveler"" title=""posts tagged as worldtraveler"">#worldtraveler</a></p>",69,3
November 08 2017 - 11:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c71.0.937.937/23164200_127846254553282_680111756403539968_n.jpg,http://picbear.com/media/1641691261658996403_1745583050,November 08 2017 - 11:31,November 06 2017 - 02:34,"<p>There is just something soooo soothing about Asian architecture.  Travel, see the world! Immerse yourself in other cultures. Never stop learning. (🌀Typhoon Damrey safe) . . .  <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/globetrotter"" title=""posts tagged as globetrotter"">#globetrotter</a> <a href=""http://picbear.com/tag/asianarchitecture"" title=""posts tagged as asianarchitecture"">#asianarchitecture</a> <a href=""http://picbear.com/tag/vietnam"" title=""posts tagged as vietnam"">#vietnam</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/travelgram"" title=""posts tagged as travelgram"">#travelgram</a> <a href=""http://picbear.com/tag/vietnam"" title=""posts tagged as vietnam"">#vietnam</a> <a href=""http://picbear.com/tag/architecture"" title=""posts tagged as architecture"">#architecture</a> <a href=""http://picbear.com/tag/vacay"" title=""posts tagged as vacay"">#vacay</a> <a href=""http://picbear.com/tag/worldtraveler"" title=""posts tagged as worldtraveler"">#worldtraveler</a> <a href=""http://picbear.com/tag/beautifuldestination"" title=""posts tagged as beautifuldestination"">#beautifuldestination</a></p>",76,11
November 08 2017 - 11:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164045_227662391105854_4319013774213251072_n.jpg,http://picbear.com/media/1641441102689757837_1745583050,November 08 2017 - 11:31,November 05 2017 - 18:17,"<p>Breakfast Favorites.... Red Dragon Fruit 🐲 and Rambutan Honey 🐝 🍯 Pure delight!!! . . .  <a href=""http://picbear.com/tag/healthybreakfast"" title=""posts tagged as healthybreakfast"">#healthybreakfast</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/honey"" title=""posts tagged as honey"">#honey</a> <a href=""http://picbear.com/tag/fruit"" title=""posts tagged as fruit"">#fruit</a> <a href=""http://picbear.com/tag/cheese"" title=""posts tagged as cheese"">#cheese</a> <a href=""http://picbear.com/tag/travelgram"" title=""posts tagged as travelgram"">#travelgram</a> <a href=""http://picbear.com/tag/vacation"" title=""posts tagged as vacation"">#vacation</a> <a href=""http://picbear.com/tag/globetrotter"" title=""posts tagged as globetrotter"">#globetrotter</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/tourist"" title=""posts tagged as tourist"">#tourist</a> <a href=""http://picbear.com/tag/vietnam"" title=""posts tagged as vietnam"">#vietnam</a> <a href=""http://picbear.com/tag/worldtraveler"" title=""posts tagged as worldtraveler"">#worldtraveler</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a></p>",84,6
November 08 2017 - 11:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161060_1983557158549191_4751338473489694720_n.jpg,http://picbear.com/media/1640781278297802487_1745583050,November 08 2017 - 11:31,November 04 2017 - 20:26,"<p>Jet lag recovery heaven 😇💫 . . .  <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/jetlag"" title=""posts tagged as jetlag"">#jetlag</a> <a href=""http://picbear.com/tag/vacation"" title=""posts tagged as vacation"">#vacation</a> <a href=""http://picbear.com/tag/globetrotter"" title=""posts tagged as globetrotter"">#globetrotter</a> <a href=""http://picbear.com/tag/travelgram"" title=""posts tagged as travelgram"">#travelgram</a> <a href=""http://picbear.com/tag/relax"" title=""posts tagged as relax"">#relax</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/worldtraveler"" title=""posts tagged as worldtraveler"">#worldtraveler</a> <a href=""http://picbear.com/tag/traveler"" title=""posts tagged as traveler"">#traveler</a> <a href=""http://picbear.com/tag/bath"" title=""posts tagged as bath"">#bath</a> <a href=""http://picbear.com/tag/vacay"" title=""posts tagged as vacay"">#vacay</a> <a href=""http://picbear.com/tag/wanderlust"" title=""posts tagged as wanderlust"">#wanderlust</a> <a href=""http://picbear.com/tag/goodvibes"" title=""posts tagged as goodvibes"">#goodvibes</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a></p>",106,7
November 08 2017 - 11:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22708834_1974731356108697_5102095670731341824_n.jpg,http://picbear.com/media/1630540388258131241_1745583050,November 08 2017 - 11:31,October 21 2017 - 17:19,"<p>2017 ISBA/IBF Gala. . . .  <a href=""http://picbear.com/tag/aboutlastnight"" title=""posts tagged as aboutlastnight"">#aboutlastnight</a> <a href=""http://picbear.com/tag/gala"" title=""posts tagged as gala"">#gala</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/dress"" title=""posts tagged as dress"">#dress</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/formal"" title=""posts tagged as formal"">#formal</a> <a href=""http://picbear.com/tag/fridaynight"" title=""posts tagged as fridaynight"">#fridaynight</a> <a href=""http://picbear.com/tag/fun"" title=""posts tagged as fun"">#fun</a></p>",257,42
November 08 2017 - 11:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22430085_138791666751468_4242553623948558336_n.jpg,http://picbear.com/media/1625617734509709821_1745583050,November 08 2017 - 11:31,October 14 2017 - 22:19,"<p>Long haired orange tabby named Tigger.  A mischievous girl of course! . . .  <a href=""http://picbear.com/tag/ellenratemycat"" title=""posts tagged as ellenratemycat"">#ellenratemycat</a> <a href=""http://picbear.com/tag/catsofinstagram"" title=""posts tagged as catsofinstagram"">#catsofinstagram</a></p>",276,46
