user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c33.0.1014.1014/22861132_490123011361444_6511748179736657920_n.jpg,http://picbear.com/media/1636416369959879038_2167063372,November 08 2017 - 14:50,October 29 2017 - 19:54,,10,0
November 08 2017 - 14:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20969298_111568202886476_3553706754468478976_n.jpg,http://picbear.com/media/1585554471538538671_2167063372,November 08 2017 - 14:50,August 20 2017 - 15:40,<p>Ciao sn Diego</p>,31,2
November 08 2017 - 14:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20766402_465176490518666_6495599892977680384_n.jpg,http://picbear.com/media/1579966673150326818_2167063372,November 08 2017 - 14:50,August 12 2017 - 22:38,,15,0
November 08 2017 - 14:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20838123_2026586500906480_7277788951694278656_n.jpg,http://picbear.com/media/1579962548941509818_2167063372,November 08 2017 - 14:50,August 12 2017 - 22:30,,19,0
November 08 2017 - 14:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20759579_111728089492983_8628300899200008192_n.jpg,http://picbear.com/media/1579959351774638216_2167063372,November 08 2017 - 14:50,August 12 2017 - 22:24,,13,0
November 08 2017 - 14:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20759956_213424492521780_6404936268685246464_n.jpg,http://picbear.com/media/1578561177231249431_2167063372,November 08 2017 - 14:50,August 11 2017 - 00:06,,13,0
November 08 2017 - 14:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20635098_116853628966124_3392568987500937216_n.jpg,http://picbear.com/media/1575573288423746322_2167063372,November 08 2017 - 14:50,August 06 2017 - 21:09,<p>Il mio angolo di paradiso</p>,21,0
November 08 2017 - 14:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20634185_155053688379991_705603340788039680_n.jpg,http://picbear.com/media/1575572660486019403_2167063372,November 08 2017 - 14:50,August 06 2017 - 21:08,,9,0
November 08 2017 - 14:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20633775_1433842026696085_3975399240728838144_n.jpg,http://picbear.com/media/1575572315059992611_2167063372,November 08 2017 - 14:50,August 06 2017 - 21:07,,8,0
November 08 2017 - 14:49,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20635452_101923057190181_5793415414876733440_n.jpg,http://picbear.com/media/1575571701399570007_2167063372,November 08 2017 - 14:50,August 06 2017 - 21:06,,7,0
