user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19535207_149638015594847_3859871264780845056_n.jpg,http://picbear.com/media/1548133355927701047_2896087969,November 08 2017 - 14:04,June 30 2017 - 00:31,,20,1
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18888846_1897707177153409_5446761972987068416_n.jpg,http://picbear.com/media/1529913287926357052_2896087969,November 08 2017 - 14:04,June 04 2017 - 21:11,,16,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18581185_1525379604153624_3772209646534656000_n.jpg,http://picbear.com/media/1520580570206285151_2896087969,November 08 2017 - 14:04,May 23 2017 - 00:09,,13,1
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18513759_1540707139296653_5037449016992858112_n.jpg,http://picbear.com/media/1519803184648861423_2896087969,November 08 2017 - 14:04,May 21 2017 - 22:24,,15,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18580250_1716482821985054_4489982635421990912_n.jpg,http://picbear.com/media/1519803053912469646_2896087969,November 08 2017 - 14:04,May 21 2017 - 22:24,,11,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18013168_697546417114118_1101817703091404800_n.jpg,http://picbear.com/media/1503106790891328212_2896087969,November 08 2017 - 14:04,April 28 2017 - 21:31,,14,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18096081_1895136504074831_8672706707807272960_n.jpg,http://picbear.com/media/1503106603179546558_2896087969,November 08 2017 - 14:04,April 28 2017 - 21:31,,13,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18011729_283680598723570_8387964278891610112_n.jpg,http://picbear.com/media/1495725263425428416_2896087969,November 08 2017 - 14:04,April 18 2017 - 17:06,,9,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18011969_192897414551148_1791580659030949888_n.jpg,http://picbear.com/media/1495725106491509318_2896087969,November 08 2017 - 14:04,April 18 2017 - 17:05,,11,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18011287_1825625971092562_2862075638079029248_n.jpg,http://picbear.com/media/1495724926379641906_2896087969,November 08 2017 - 14:04,April 18 2017 - 17:05,,10,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17881133_142450412957054_1823442629103190016_n.jpg,http://picbear.com/media/1493679068427568513_2896087969,November 08 2017 - 14:04,April 15 2017 - 21:20,,12,2
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17934329_1313730422054559_6994815332045029376_n.jpg,http://picbear.com/media/1493678844174906862_2896087969,November 08 2017 - 14:04,April 15 2017 - 21:20,,10,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17934194_1351039838323812_1642300532263485440_n.jpg,http://picbear.com/media/1493678614184284195_2896087969,November 08 2017 - 14:04,April 15 2017 - 21:19,,8,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17932067_1911308699153500_8076915093683568640_n.jpg,http://picbear.com/media/1493678338962408679_2896087969,November 08 2017 - 14:04,April 15 2017 - 21:19,,9,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17933979_135011527037110_7103646272862552064_n.jpg,http://picbear.com/media/1493678149371556347_2896087969,November 08 2017 - 14:04,April 15 2017 - 21:18,,9,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17934188_1553398888064067_1364248348134998016_n.jpg,http://picbear.com/media/1493677870274088395_2896087969,November 08 2017 - 14:04,April 15 2017 - 21:18,,8,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17819035_1505921326109228_1818917816632344576_n.jpg,http://picbear.com/media/1490828777621411573_2896087969,November 08 2017 - 14:04,April 11 2017 - 22:57,,20,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17881985_1308922582534685_1878242361645989888_n.jpg,http://picbear.com/media/1490828464667614178_2896087969,November 08 2017 - 14:04,April 11 2017 - 22:57,,17,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17817980_472769759721287_5204872666166591488_n.jpg,http://picbear.com/media/1490827128647551806_2896087969,November 08 2017 - 14:04,April 11 2017 - 22:54,,12,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/16583421_162114580957035_5473544452742053888_n.jpg,http://picbear.com/media/1447208987036462765_2896087969,November 08 2017 - 14:04,February 10 2017 - 18:32,,17,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/16464482_1050481161764897_8643625840728342528_n.jpg,http://picbear.com/media/1447208323631551875_2896087969,November 08 2017 - 14:04,February 10 2017 - 18:31,,11,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/16463937_247017442423362_7850793079958142976_n.jpg,http://picbear.com/media/1447207482262729621_2896087969,November 08 2017 - 14:04,February 10 2017 - 18:29,,11,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/15253224_306107756455494_1281769917896458240_n.jpg,http://picbear.com/media/1393369668018527591_2896087969,November 08 2017 - 14:04,November 28 2016 - 11:43,,13,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/15099404_344669219230102_4304674725247844352_n.jpg,http://picbear.com/media/1393368308963593283_2896087969,November 08 2017 - 14:04,November 28 2016 - 11:41,,7,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/15046790_589134911295232_7617906333827727360_n.jpg,http://picbear.com/media/1381951242440117930_2896087969,November 08 2017 - 14:04,November 12 2016 - 17:37,,10,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/14515807_343856265951041_1644807272745926656_n.jpg,http://picbear.com/media/1356700237368689244_2896087969,November 08 2017 - 14:04,October 08 2016 - 21:28,,9,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/14359389_664334790393148_6098401098400268288_n.jpg,http://picbear.com/media/1356699773210455181_2896087969,November 08 2017 - 14:04,October 08 2016 - 21:27,,11,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/14564886_200032957073620_1367757332120862720_n.jpg,http://picbear.com/media/1356699435963010428_2896087969,November 08 2017 - 14:05,October 08 2016 - 21:26,,8,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/14374256_917337745077849_1048426337569603584_n.jpg,http://picbear.com/media/1354529523551334322_2896087969,November 08 2017 - 14:05,October 05 2016 - 21:35,,5,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/14448303_1760631214176683_1416125763454763008_n.jpg,http://picbear.com/media/1354529027549733368_2896087969,November 08 2017 - 14:05,October 05 2016 - 21:34,,6,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/14540564_550868168441277_3448164006253035520_n.jpg,http://picbear.com/media/1354528535968760652_2896087969,November 08 2017 - 14:05,October 05 2016 - 21:33,,10,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/14488210_1737837236480230_1914295691518148608_n.jpg,http://picbear.com/media/1347250760097815418_2896087969,November 08 2017 - 14:05,September 25 2016 - 20:33,,13,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14052145_798468590295610_123619590_n.jpg,http://picbear.com/media/1321173958057421236_2896087969,November 08 2017 - 14:05,August 20 2016 - 21:03,,11,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14026729_282110655481333_1305174761_n.jpg,http://picbear.com/media/1316465623102063531_2896087969,November 08 2017 - 14:05,August 14 2016 - 09:09,,10,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13687323_1644070765906894_1840843652_n.jpg,http://picbear.com/media/1316465392633467165_2896087969,November 08 2017 - 14:05,August 14 2016 - 09:08,,4,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13671747_552404518278079_1890370874_n.jpg,http://picbear.com/media/1316465048121746959_2896087969,November 08 2017 - 14:05,August 14 2016 - 09:08,,5,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13715134_1768833056665554_1615246949_n.jpg,http://picbear.com/media/1311031376279203287_2896087969,November 08 2017 - 14:05,August 06 2016 - 21:12,,5,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13743513_1754276641512671_2053380429_n.jpg,http://picbear.com/media/1311029774986229854_2896087969,November 08 2017 - 14:05,August 06 2016 - 21:09,,5,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13741387_180778935668969_985711967_n.jpg,http://picbear.com/media/1311029282658771002_2896087969,November 08 2017 - 14:05,August 06 2016 - 21:08,,9,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13774755_485895044940092_381550747_n.jpg,http://picbear.com/media/1302085918898944531_2896087969,November 08 2017 - 14:05,July 25 2016 - 12:59,,11,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13703033_1706438476276373_685771761_n.jpg,http://picbear.com/media/1302085596432536645_2896087969,November 08 2017 - 14:05,July 25 2016 - 12:58,,4,0
November 08 2017 - 12:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13722192_513266598862699_759883628_n.jpg,http://picbear.com/media/1302085275845063914_2896087969,November 08 2017 - 14:05,July 25 2016 - 12:58,,8,0
