user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c50.0.979.979/23417054_1975045576117721_3788264071078346752_n.jpg,http://picbear.com/media/1643463167713972706_5786523258,November 08 2017 - 14:23,November 08 2017 - 13:14,<p>Korean foods 🥘 cheese rice cake hotpot. That’s really delicious 😋 🤤</p>,4,1
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164395_337107576699083_237736447107399680_n.jpg,http://picbear.com/media/1642069681261472710_5786523258,November 08 2017 - 14:23,November 06 2017 - 15:06,<p>Life is still happy. Beautiful sunset 🌅 when I was riding with my friend.</p>,18,4
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.30.1080.1080/23164133_358063664635883_2507547257688031232_n.jpg,http://picbear.com/media/1642068922948048086_5786523258,November 08 2017 - 14:23,November 06 2017 - 15:04,<p>Hope I can read more during my university time</p>,8,1
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098784_311116179373307_5193587738380599296_n.jpg,http://picbear.com/media/1639238151241678533_5786523258,November 08 2017 - 14:23,November 02 2017 - 17:20,<p>Don’t touch my beautiful tail 😼</p>,22,2
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101175_1955400131365550_8120262158492631040_n.jpg,http://picbear.com/media/1637626928125423147_5786523258,November 08 2017 - 14:23,October 31 2017 - 11:59,<p>sleep with a comfortable gesture🐱</p>,22,2
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.108.1080.1080/22858307_1997822657162845_2498594226560827392_n.jpg,http://picbear.com/media/1635225529525714997_5786523258,November 08 2017 - 14:23,October 28 2017 - 04:28,<p>🙏🏻</p>,8,0
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794533_1977282812554930_3944528209806098432_n.jpg,http://picbear.com/media/1634930449990008312_5786523258,November 08 2017 - 14:23,October 27 2017 - 18:41,<p>Guangzhou🙋🏻</p>,2,2
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22858041_168846033697302_7244072650966827008_n.jpg,http://picbear.com/media/1634929460587148506_5786523258,November 08 2017 - 14:23,October 27 2017 - 18:40,<p>Chinese guangzhou food</p>,3,0
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.86.1080.1080/22070994_490420731313329_4324072223485722624_n.jpg,http://picbear.com/media/1616417681811416127_5786523258,November 08 2017 - 14:24,October 02 2017 - 05:40,<p>Love this beautiful girl.Chinese traditional clothing</p>,4,0
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.31.778.778/22158000_123821794904139_4800593712491003904_n.jpg,http://picbear.com/media/1614226153928049933_5786523258,November 08 2017 - 14:24,September 29 2017 - 05:06,<p>cute😋me</p>,3,0
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.126.1080.1080/21980913_887163498103861_4105508703661195264_n.jpg,http://picbear.com/media/1610749785831624781_5786523258,November 08 2017 - 14:24,September 24 2017 - 09:59,<p>Life is always filled with happiness</p>,8,0
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/21878826_1464591060301439_4993823376310009856_n.jpg,http://picbear.com/media/1607206385576446149_5786523258,November 08 2017 - 14:24,September 19 2017 - 12:39,<p>Life is colorful everyday.I'd like to stay in campus forever.Maybe I can be a teacher in the future.</p>,5,0
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21689949_117190735624667_785698029817561088_n.jpg,http://picbear.com/media/1604784645046808708_5786523258,November 08 2017 - 14:24,September 16 2017 - 04:27,<p>The change of my hair in two years 👧🏻👱🏻‍♀️👩🏻💇🏻</p>,7,0
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21435797_498501927170262_3843597350228459520_n.jpg,http://picbear.com/media/1600447101295475226_5786523258,November 08 2017 - 14:24,September 10 2017 - 04:49,<p>first week I will find what to do.Hope everyone can meet his own rose 🌹</p>,2,1
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/21149247_447990195601386_7357664859384709120_n.jpg,http://picbear.com/media/1592797808203992953_5786523258,November 08 2017 - 14:24,August 30 2017 - 15:31,<p>miss my roommates The junior year is coming 🤗and I will study hard</p>,4,0
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21107943_126336734682177_2298654599759790080_n.jpg,http://picbear.com/media/1590408525925094250_5786523258,November 08 2017 - 14:24,August 27 2017 - 08:24,"<p>You can not always be 18, but there always are someone looks like 18.</p>",3,0
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20582703_918470441638206_8483630092679905280_n.jpg,http://picbear.com/media/1574682440533165195_5786523258,November 08 2017 - 14:24,August 05 2017 - 15:39,<p>my work</p>,5,0
November 08 2017 - 14:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20398759_126358701313966_7392713029470650368_n.jpg,http://picbear.com/media/1569325936158416592_5786523258,November 08 2017 - 14:24,July 29 2017 - 06:17,<p>love this</p>,16,0
