user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709350_160581357869561_6271861822324736000_n.jpg,http://picbear.com/media/1631298333628435176_1558067070,November 08 2017 - 14:08,October 22 2017 - 18:25,<p>O-Lo-Ma</p>,46,4
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22277450_138323726901064_8044134404336910336_n.jpg,http://picbear.com/media/1621037029466603065_1558067070,November 08 2017 - 14:08,October 08 2017 - 14:38,<p>Mo.m.A.r.U</p>,45,6
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21909620_859048464250356_2376225913898532864_n.jpg,http://picbear.com/media/1609384478954691433_1558067070,November 08 2017 - 14:08,September 22 2017 - 12:46,<p>I've been think about that.</p>,29,0
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20760022_869286999887845_2540395438150778880_n.jpg,http://picbear.com/media/1580547886739150534_1558067070,November 08 2017 - 14:08,August 13 2017 - 17:53,"<p>Maybe I'm the devil, that's why you have to get me out of your head,, .or you just can't 😁</p>",40,9
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18380113_1489754951055956_8900436606964465664_n.jpg,http://picbear.com/media/1512165465178682813_1558067070,November 08 2017 - 14:08,May 11 2017 - 09:29,<p>Johnny cash - you are my sunshine</p>,49,4
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17882555_1938063976412729_8643783195445166080_n.jpg,http://picbear.com/media/1492770005077583439_1558067070,November 08 2017 - 14:08,April 14 2017 - 15:14,"<p>Something's changing inside you, And don't you know??</p>",57,1
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16583267_1157175961047281_3689898715725692928_n.jpg,http://picbear.com/media/1447949088510974833_1558067070,November 08 2017 - 14:08,February 11 2017 - 19:03,<p>Entertain yourself</p>,35,0
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15624135_1844534445792739_7760481638689013760_n.jpg,http://picbear.com/media/1414993521023052347_1558067070,November 08 2017 - 14:08,December 28 2016 - 07:46,"<p><a href=""http://picbear.com/tag/equator"" title=""posts tagged as equator"">#equator</a></p>",32,0
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15624107_397935357215643_3767457501444833280_n.jpg,http://picbear.com/media/1414993488047341708_1558067070,November 08 2017 - 14:08,December 28 2016 - 07:46,,34,0
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15623947_101501803687544_755762180778885120_n.jpg,http://picbear.com/media/1414989862029574690_1558067070,November 08 2017 - 14:08,December 28 2016 - 07:39,"<p>Take a cup of coffee and sit here with me,,i'll tell you a story about life..</p>",23,0
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15624533_363492487349661_9220818781876518912_n.jpg,http://picbear.com/media/1414989714759338676_1558067070,November 08 2017 - 14:08,December 28 2016 - 07:39,<p>Hard past doesn't mean hard future..that's mean a good story .</p>,24,0
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15538131_397522010588167_5337265660131016704_n.jpg,http://picbear.com/media/1414989614137968337_1558067070,November 08 2017 - 14:08,December 28 2016 - 07:38,"<p>They say ""Smoke isn't good for your healty"". . . . . .i say ""judge isn't good for your brain""</p>",28,0
November 08 2017 - 14:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15623855_352378781808939_7067076885489909760_n.jpg,http://picbear.com/media/1414988957083317012_1558067070,November 08 2017 - 14:08,December 28 2016 - 07:37,<p>You can leave something behind you. . . . . . . .but not someone.</p>,30,0
