user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279963_366967003762284_1391717971117735936_n.jpg,http://picbear.com/media/1643069086814898496_456221732,November 08 2017 - 14:26,November 08 2017 - 00:12,"<p>mihot.🚊 <a href=""http://picbear.com/tag/hello"" title=""posts tagged as hello"">#hello</a> <a href=""http://picbear.com/tag/zozapadunavychod"" title=""posts tagged as zozapadunavychod"">#zozapadunavychod</a> <a href=""http://picbear.com/tag/idzemdomu"" title=""posts tagged as idzemdomu"">#idzemdomu</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/intrain"" title=""posts tagged as intrain"">#intrain</a> <a href=""http://picbear.com/tag/mirror"" title=""posts tagged as mirror"">#mirror</a> <a href=""http://picbear.com/tag/boy"" title=""posts tagged as boy"">#boy</a> <a href=""http://picbear.com/tag/gay"" title=""posts tagged as gay"">#gay</a> <a href=""http://picbear.com/tag/inked"" title=""posts tagged as inked"">#inked</a> <a href=""http://picbear.com/tag/bigboy"" title=""posts tagged as bigboy"">#bigboy</a></p>",42,1
November 08 2017 - 14:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23280157_870128003138048_4309662419229081600_n.jpg,http://picbear.com/media/1642320110889032369_456221732,November 08 2017 - 14:26,November 06 2017 - 23:23,"<p>lookatthis. <a href=""http://picbear.com/tag/november"" title=""posts tagged as november"">#november</a> <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a> <a href=""http://picbear.com/tag/fall"" title=""posts tagged as fall"">#fall</a> <a href=""http://picbear.com/tag/color"" title=""posts tagged as color"">#color</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/forest"" title=""posts tagged as forest"">#forest</a> <a href=""http://picbear.com/tag/monday"" title=""posts tagged as monday"">#monday</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/picture"" title=""posts tagged as picture"">#picture</a> <a href=""http://picbear.com/tag/freedom"" title=""posts tagged as freedom"">#freedom</a> <a href=""http://picbear.com/tag/feelings"" title=""posts tagged as feelings"">#feelings</a></p>",37,4
November 08 2017 - 14:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23101630_328019027666843_6981291545181814784_n.jpg,http://picbear.com/media/1640898872413104776_456221732,November 08 2017 - 14:26,November 05 2017 - 00:20,"<p>badkarmaboy. <a href=""http://picbear.com/tag/hello"" title=""posts tagged as hello"">#hello</a> <a href=""http://picbear.com/tag/saturday"" title=""posts tagged as saturday"">#saturday</a> <a href=""http://picbear.com/tag/tonight"" title=""posts tagged as tonight"">#tonight</a> <a href=""http://picbear.com/tag/bedtime"" title=""posts tagged as bedtime"">#bedtime</a> <a href=""http://picbear.com/tag/chill"" title=""posts tagged as chill"">#chill</a> <a href=""http://picbear.com/tag/boy"" title=""posts tagged as boy"">#boy</a> <a href=""http://picbear.com/tag/slovakboy"" title=""posts tagged as slovakboy"">#slovakboy</a> <a href=""http://picbear.com/tag/bear"" title=""posts tagged as bear"">#bear</a> <a href=""http://picbear.com/tag/beard"" title=""posts tagged as beard"">#beard</a> <a href=""http://picbear.com/tag/bearded"" title=""posts tagged as bearded"">#bearded</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a> <a href=""http://picbear.com/tag/gay"" title=""posts tagged as gay"">#gay</a> <a href=""http://picbear.com/tag/instagay"" title=""posts tagged as instagay"">#instagay</a> <a href=""http://picbear.com/tag/instaboy"" title=""posts tagged as instaboy"">#instaboy</a></p>",68,0
November 08 2017 - 14:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23164679_809361209236055_4392037104532586496_n.jpg,http://picbear.com/media/1640083655676523119_456221732,November 08 2017 - 14:26,November 03 2017 - 21:20,"<p>freshair.  <a href=""http://picbear.com/tag/hello"" title=""posts tagged as hello"">#hello</a> <a href=""http://picbear.com/tag/friday"" title=""posts tagged as friday"">#friday</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/bestfriends"" title=""posts tagged as bestfriends"">#bestfriends</a> <a href=""http://picbear.com/tag/fresh"" title=""posts tagged as fresh"">#fresh</a> <a href=""http://picbear.com/tag/young"" title=""posts tagged as young"">#young</a> <a href=""http://picbear.com/tag/people"" title=""posts tagged as people"">#people</a> <a href=""http://picbear.com/tag/youngpeople"" title=""posts tagged as youngpeople"">#youngpeople</a> <a href=""http://picbear.com/tag/blonde"" title=""posts tagged as blonde"">#blonde</a> <a href=""http://picbear.com/tag/beard"" title=""posts tagged as beard"">#beard</a> <a href=""http://picbear.com/tag/bearded"" title=""posts tagged as bearded"">#bearded</a> <a href=""http://picbear.com/tag/hat"" title=""posts tagged as hat"">#hat</a> <a href=""http://picbear.com/tag/november"" title=""posts tagged as november"">#november</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/gay"" title=""posts tagged as gay"">#gay</a></p>",48,1
November 08 2017 - 14:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857581_694726517400019_2719411448869552128_n.jpg,http://picbear.com/media/1639138600711119103_456221732,November 08 2017 - 14:26,November 02 2017 - 14:02,"<p>bigboy. <a href=""http://picbear.com/tag/hello"" title=""posts tagged as hello"">#hello</a> <a href=""http://picbear.com/tag/bear"" title=""posts tagged as bear"">#bear</a> <a href=""http://picbear.com/tag/bigboy"" title=""posts tagged as bigboy"">#bigboy</a> <a href=""http://picbear.com/tag/boy"" title=""posts tagged as boy"">#boy</a> <a href=""http://picbear.com/tag/gay"" title=""posts tagged as gay"">#gay</a></p>",63,1
November 08 2017 - 14:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22794535_266569020531372_99312395641421824_n.jpg,http://picbear.com/media/1634660856174634980_456221732,November 08 2017 - 14:26,October 27 2017 - 09:46,"<p>lumberjack mode. <a href=""http://picbear.com/tag/hello"" title=""posts tagged as hello"">#hello</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/myself"" title=""posts tagged as myself"">#myself</a> <a href=""http://picbear.com/tag/villagepeople"" title=""posts tagged as villagepeople"">#villagepeople</a> <a href=""http://picbear.com/tag/lumberjack"" title=""posts tagged as lumberjack"">#lumberjack</a> <a href=""http://picbear.com/tag/man"" title=""posts tagged as man"">#man</a> <a href=""http://picbear.com/tag/gay"" title=""posts tagged as gay"">#gay</a> <a href=""http://picbear.com/tag/slovakboy"" title=""posts tagged as slovakboy"">#slovakboy</a> <a href=""http://picbear.com/tag/bear"" title=""posts tagged as bear"">#bear</a> <a href=""http://picbear.com/tag/beard"" title=""posts tagged as beard"">#beard</a> <a href=""http://picbear.com/tag/hardworkselfie"" title=""posts tagged as hardworkselfie"">#hardworkselfie</a></p>",60,2
November 08 2017 - 14:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22802011_129681087789658_2524198029850836992_n.jpg,http://picbear.com/media/1634202844846863201_456221732,November 08 2017 - 14:26,October 26 2017 - 18:36,"<p>vyšľachtení.👷🏻‍♀️👷🏻 <a href=""http://picbear.com/tag/hello"" title=""posts tagged as hello"">#hello</a> <a href=""http://picbear.com/tag/afterwork"" title=""posts tagged as afterwork"">#afterwork</a> <a href=""http://picbear.com/tag/family"" title=""posts tagged as family"">#family</a> <a href=""http://picbear.com/tag/mom"" title=""posts tagged as mom"">#mom</a> <a href=""http://picbear.com/tag/son"" title=""posts tagged as son"">#son</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/together"" title=""posts tagged as together"">#together</a> <a href=""http://picbear.com/tag/villagepeople"" title=""posts tagged as villagepeople"">#villagepeople</a></p>",49,1
November 08 2017 - 14:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709484_124456538226373_5399892034267906048_n.jpg,http://picbear.com/media/1633555873454868676_456221732,November 08 2017 - 14:26,October 25 2017 - 21:10,"<p>prettylittlepsycho.❤️ <a href=""http://picbear.com/tag/hello"" title=""posts tagged as hello"">#hello</a> <a href=""http://picbear.com/tag/fresh"" title=""posts tagged as fresh"">#fresh</a> <a href=""http://picbear.com/tag/dog"" title=""posts tagged as dog"">#dog</a> <a href=""http://picbear.com/tag/doglover"" title=""posts tagged as doglover"">#doglover</a> <a href=""http://picbear.com/tag/mylove"" title=""posts tagged as mylove"">#mylove</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/instadog"" title=""posts tagged as instadog"">#instadog</a> <a href=""http://picbear.com/tag/maltese"" title=""posts tagged as maltese"">#maltese</a> <a href=""http://picbear.com/tag/home"" title=""posts tagged as home"">#home</a></p>",41,1
November 08 2017 - 14:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710384_133981943923902_1644994516140163072_n.jpg,http://picbear.com/media/1633527697219478913_456221732,November 08 2017 - 14:27,October 25 2017 - 20:14,"<p>🍂🍂🍂 <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/fall"" title=""posts tagged as fall"">#fall</a> <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a> <a href=""http://picbear.com/tag/park"" title=""posts tagged as park"">#park</a> <a href=""http://picbear.com/tag/humenne"" title=""posts tagged as humenne"">#humenne</a></p>",46,2
November 08 2017 - 14:26,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709353_1728762784098871_4826169740227510272_n.jpg,http://picbear.com/media/1633411254389815528_456221732,November 08 2017 - 14:27,October 25 2017 - 16:23,"<p>fallinfall. 🥀 <a href=""http://picbear.com/tag/hello"" title=""posts tagged as hello"">#hello</a> <a href=""http://picbear.com/tag/goodday"" title=""posts tagged as goodday"">#goodday</a> <a href=""http://picbear.com/tag/goodvibes"" title=""posts tagged as goodvibes"">#goodvibes</a> <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a> <a href=""http://picbear.com/tag/fall"" title=""posts tagged as fall"">#fall</a> <a href=""http://picbear.com/tag/fallinlove"" title=""posts tagged as fallinlove"">#fallinlove</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/myself"" title=""posts tagged as myself"">#myself</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/boy"" title=""posts tagged as boy"">#boy</a> <a href=""http://picbear.com/tag/instaboy"" title=""posts tagged as instaboy"">#instaboy</a> <a href=""http://picbear.com/tag/slovakboy"" title=""posts tagged as slovakboy"">#slovakboy</a> <a href=""http://picbear.com/tag/bear"" title=""posts tagged as bear"">#bear</a> <a href=""http://picbear.com/tag/beard"" title=""posts tagged as beard"">#beard</a> <a href=""http://picbear.com/tag/bearded"" title=""posts tagged as bearded"">#bearded</a> <a href=""http://picbear.com/tag/instabeard"" title=""posts tagged as instabeard"">#instabeard</a> <a href=""http://picbear.com/tag/gay"" title=""posts tagged as gay"">#gay</a> <a href=""http://picbear.com/tag/gayboy"" title=""posts tagged as gayboy"">#gayboy</a> <a href=""http://picbear.com/tag/instagay"" title=""posts tagged as instagay"">#instagay</a> <a href=""http://picbear.com/tag/face"" title=""posts tagged as face"">#face</a> <a href=""http://picbear.com/tag/sunglasses"" title=""posts tagged as sunglasses"">#sunglasses</a> <a href=""http://picbear.com/tag/instapic"" title=""posts tagged as instapic"">#instapic</a> <a href=""http://picbear.com/tag/fresh"" title=""posts tagged as fresh"">#fresh</a></p>",90,3
