user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22345009_899556500200808_412861161621422080_n.jpg,http://picbear.com/media/1622737449708940672_318278903,November 08 2017 - 14:41,October 10 2017 - 22:56,"<p>🙈🙈👌👌⚽🇬🇷🇬🇷 <a href=""http://picbear.com/tag/saniresort"" title=""posts tagged as saniresort"">#saniresort</a> <a href=""http://picbear.com/tag/sani"" title=""posts tagged as sani"">#sani</a> <a href=""http://picbear.com/tag/greece"" title=""posts tagged as greece"">#greece</a> <a href=""http://picbear.com/tag/football"" title=""posts tagged as football"">#football</a> <a href=""http://picbear.com/tag/court"" title=""posts tagged as court"">#court</a> <a href=""http://picbear.com/tag/seaview"" title=""posts tagged as seaview"">#seaview</a> <a href=""http://picbear.com/tag/chalkidiki"" title=""posts tagged as chalkidiki"">#chalkidiki</a></p>",40,0
November 08 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20589747_381278325620528_3944488069041750016_n.jpg,http://picbear.com/media/1573860268174046894_318278903,November 08 2017 - 14:41,August 04 2017 - 12:26,"<p>Summer diving <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/greece"" title=""posts tagged as greece"">#greece</a> <a href=""http://picbear.com/tag/halkidiki"" title=""posts tagged as halkidiki"">#halkidiki</a> <a href=""http://picbear.com/tag/river"" title=""posts tagged as river"">#river</a> 🇬🇷🇬🇷🏊😎</p>",58,0
November 08 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19955494_1999969370291644_5127811628502351872_n.jpg,http://picbear.com/media/1558233663812697419_318278903,November 08 2017 - 14:41,July 13 2017 - 22:59,"<p>Sani hotel <a href=""http://picbear.com/tag/saniresort"" title=""posts tagged as saniresort"">#saniresort</a> <a href=""http://picbear.com/tag/chalkidiki"" title=""posts tagged as chalkidiki"">#chalkidiki</a> <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/sani"" title=""posts tagged as sani"">#sani</a> <a href=""http://picbear.com/tag/greece"" title=""posts tagged as greece"">#greece</a> ✔✔🔆🔆</p>",45,0
November 08 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19051552_1376384835783048_7908036743381647360_n.jpg,http://picbear.com/media/1535049990087256584_318278903,November 08 2017 - 14:41,June 11 2017 - 23:17,"<p>Sani Club <a href=""http://picbear.com/tag/sunyday"" title=""posts tagged as sunyday"">#sunyday</a>🌞 <a href=""http://picbear.com/tag/placetogo"" title=""posts tagged as placetogo"">#placetogo</a> <a href=""http://picbear.com/tag/hotel"" title=""posts tagged as hotel"">#hotel</a> <a href=""http://picbear.com/tag/saniclub"" title=""posts tagged as saniclub"">#saniclub</a> <a href=""http://picbear.com/tag/saniresort"" title=""posts tagged as saniresort"">#saniresort</a></p>",61,2
November 08 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18808804_1464527360266753_886572689748131840_n.jpg,http://picbear.com/media/1528168571639898672_318278903,November 08 2017 - 14:41,June 02 2017 - 11:25,"<p>Roasted Pork leg <a href=""http://picbear.com/tag/saniclub"" title=""posts tagged as saniclub"">#saniclub</a> <a href=""http://picbear.com/tag/pork"" title=""posts tagged as pork"">#pork</a> <a href=""http://picbear.com/tag/food"" title=""posts tagged as food"">#food</a> <a href=""http://picbear.com/tag/roast"" title=""posts tagged as roast"">#roast</a> <a href=""http://picbear.com/tag/foodporn"" title=""posts tagged as foodporn"">#foodporn</a> 🔝🔝🍽🍻</p>",33,3
November 08 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18581383_101928367067427_4243064772301422592_n.jpg,http://picbear.com/media/1522491528101090898_318278903,November 08 2017 - 14:41,May 25 2017 - 15:25,"<p>Sani Marina <a href=""http://picbear.com/tag/boat"" title=""posts tagged as boat"">#boat</a> <a href=""http://picbear.com/tag/saniresort"" title=""posts tagged as saniresort"">#saniresort</a> <a href=""http://picbear.com/tag/sunyday"" title=""posts tagged as sunyday"">#sunyday</a>🌞 <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> 👌👌🔝</p>",48,2
November 08 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.55.1080.1080/18513130_618547695018355_2060733267195199488_n.jpg,http://picbear.com/media/1517690900548019572_318278903,November 08 2017 - 14:41,May 19 2017 - 00:27,"<p>summer mood 🤓🤓 <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/sani"" title=""posts tagged as sani"">#sani</a> <a href=""http://picbear.com/tag/greece"" title=""posts tagged as greece"">#greece</a> <a href=""http://picbear.com/tag/resort"" title=""posts tagged as resort"">#resort</a> 🔜🌡🌡#nature</p>",49,3
November 08 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/17438724_638572783001355_848279697639866368_n.jpg,http://picbear.com/media/1487265435773582228_318278903,November 08 2017 - 14:41,April 07 2017 - 00:57,"<p>Just this view! 🤔🤔 <a href=""http://picbear.com/tag/batis"" title=""posts tagged as batis"">#batis</a> <a href=""http://picbear.com/tag/kavala"" title=""posts tagged as kavala"">#kavala</a> <a href=""http://picbear.com/tag/seaview"" title=""posts tagged as seaview"">#seaview</a> 💯🌊 <a href=""http://picbear.com/tag/nature"" title=""posts tagged as nature"">#nature</a> <a href=""http://picbear.com/tag/prisma"" title=""posts tagged as prisma"">#prisma</a></p>",110,5
November 08 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.39.1080.1080/17596829_744945942354230_7774394068552908800_n.jpg,http://picbear.com/media/1480606879666363080_318278903,November 08 2017 - 14:41,March 28 2017 - 20:28,"<p><a href=""http://picbear.com/tag/kavala"" title=""posts tagged as kavala"">#kavala</a> <a href=""http://picbear.com/tag/port"" title=""posts tagged as port"">#port</a> <a href=""http://picbear.com/tag/sunyday"" title=""posts tagged as sunyday"">#sunyday</a>🌞 <a href=""http://picbear.com/tag/boat"" title=""posts tagged as boat"">#boat</a> ⛵⚓⚓</p>",75,1
November 08 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16788827_393761851001681_237614925302726656_n.jpg,http://picbear.com/media/1458961711158631904_318278903,November 08 2017 - 14:41,February 26 2017 - 23:43,"<p>Και του χρόνου...🎉🎊🎉🎊🎉🎊🎉☝☝#karnavalixanthis <a href=""http://picbear.com/tag/carnival"" title=""posts tagged as carnival"">#carnival</a> <a href=""http://picbear.com/tag/xanthi"" title=""posts tagged as xanthi"">#xanthi</a> <a href=""http://picbear.com/tag/carnival2017"" title=""posts tagged as carnival2017"">#carnival2017</a> 🇬🇷</p>",110,6
November 08 2017 - 14:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16585044_356012941458814_7032576018791530496_n.jpg,http://picbear.com/media/1449479124515492157_318278903,November 08 2017 - 14:41,February 13 2017 - 21:43,"<p>Θέλει σκάψιμο για να βρεις το αληθινό διαμάντι <a href=""http://picbear.com/tag/kismet"" title=""posts tagged as kismet"">#kismet</a> <a href=""http://picbear.com/tag/kavala"" title=""posts tagged as kavala"">#kavala</a> <a href=""http://picbear.com/tag/cafe"" title=""posts tagged as cafe"">#cafe</a> <a href=""http://picbear.com/tag/diamond"" title=""posts tagged as diamond"">#diamond</a> 🤘💎💎</p>",94,7
