user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164619_163101557617292_5400896223391514624_n.jpg,http://picbear.com/media/1641791763717032342_4461829475,November 08 2017 - 14:40,November 06 2017 - 05:54,"<p><a href=""http://picbear.com/tag/ИменнойСвитшотВПодарок"" title=""posts tagged as ИменнойСвитшотВПодарок"">#ИменнойСвитшотВПодарок</a> от <a href=""http://picbear.com/_nastya_il_"" title=""_nastya_il_ instagram profile"">@_nastya_il_</a></p>",35,0
November 08 2017 - 14:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22793833_881720015311351_4124477675832082432_n.jpg,http://picbear.com/media/1633138761716353760_4461829475,November 08 2017 - 14:40,October 25 2017 - 07:22,"<p><a href=""http://picbear.com/tag/скучаю"" title=""posts tagged as скучаю"">#скучаю</a>😔</p>",95,2
November 08 2017 - 14:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22344607_908481212634774_3779379845327224832_n.jpg,http://picbear.com/media/1622472411310378341_4461829475,November 08 2017 - 14:40,October 10 2017 - 14:10,,109,1
November 08 2017 - 14:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22071352_680657315477820_2604442067778142208_n.jpg,http://picbear.com/media/1615679271504996066_4461829475,November 08 2017 - 14:40,October 01 2017 - 05:13,"<p><a href=""http://picbear.com/tag/юленькамоя"" title=""posts tagged as юленькамоя"">#юленькамоя</a>❤💋</p>",108,0
November 08 2017 - 14:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21827851_1530803023647495_4293294552267096064_n.jpg,http://picbear.com/media/1609386691439901524_4461829475,November 08 2017 - 14:40,September 22 2017 - 12:51,,95,0
November 08 2017 - 14:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c120.0.720.720/21372300_115668545782812_6749976580988076032_n.jpg,http://picbear.com/media/1597780021446227288_4461829475,November 08 2017 - 14:40,September 06 2017 - 12:30,"<p><a href=""http://picbear.com/tag/лучшийвечер"" title=""posts tagged as лучшийвечер"">#лучшийвечер</a>❤️</p>",79,0
November 08 2017 - 14:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/20687259_250322792154044_4512418904626167808_n.jpg,http://picbear.com/media/1578329127285788520_4461829475,November 08 2017 - 14:40,August 10 2017 - 16:25,,72,0
November 08 2017 - 14:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20635553_148525095726564_6677206331616657408_n.jpg,http://picbear.com/media/1574229698584977207_4461829475,November 08 2017 - 14:40,August 05 2017 - 00:40,,75,0
November 08 2017 - 14:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19954975_463976300631034_5678343203678322688_n.jpg,http://picbear.com/media/1554353159055669165_4461829475,November 08 2017 - 14:40,July 08 2017 - 14:29,,74,0
November 08 2017 - 14:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c146.0.720.720/18580555_1576433855763977_4239129302358032384_n.jpg,http://picbear.com/media/1521404494586584286_4461829475,November 08 2017 - 14:40,May 24 2017 - 03:26,,104,0
November 08 2017 - 14:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18251850_204505530062822_3864355206342901760_n.jpg,http://picbear.com/media/1507044292764830272_4461829475,November 08 2017 - 14:40,May 04 2017 - 07:55,,98,1
