user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 11:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101493_125088771517735_6786857194575888384_n.jpg,http://picbear.com/media/1639852208396477885_4745717047,November 08 2017 - 11:44,November 03 2017 - 13:40,<p>We Love Persija❤</p>,5,0
November 08 2017 - 11:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802853_1896669723995433_2132710609769201664_n.jpg,http://picbear.com/media/1634818617295863961_4745717047,November 08 2017 - 11:44,October 27 2017 - 14:59,<p>Mia San Mia Fc Bayern Muncheen The Nice Good Fotball👌💪❤</p>,5,0
November 08 2017 - 11:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793899_323952701410540_8449150975695912960_n.jpg,http://picbear.com/media/1634817742414416943_4745717047,November 08 2017 - 11:44,October 27 2017 - 14:58,<p>Smile Boy / Gril 😄😃😉</p>,7,0
November 08 2017 - 11:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857519_1891637954186416_848832696154062848_n.jpg,http://picbear.com/media/1634816943240036070_4745717047,November 08 2017 - 11:44,October 27 2017 - 14:56,<p>Alan Walker The best Musical👌💪</p>,4,0
November 08 2017 - 11:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21689997_489338951399322_4477933624364105728_n.jpg,http://picbear.com/media/1602175826824887032_4745717047,November 08 2017 - 11:44,September 12 2017 - 14:04,<p>The best music Alan walker and Pratama.zt</p>,7,0
November 08 2017 - 11:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21479904_386875728396754_2867069125971148800_n.jpg,http://picbear.com/media/1601488004539298739_4745717047,November 08 2017 - 11:45,September 11 2017 - 15:17,<p>The Good Game (COC2017)</p>,7,0
November 08 2017 - 11:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21568972_1646546238712603_5651837813738438656_n.jpg,http://picbear.com/media/1601487378799573199_4745717047,November 08 2017 - 11:45,September 11 2017 - 15:16,<p>The best music👍😆😄😄</p>,6,0
November 08 2017 - 11:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21480142_1511641648929692_860779813407817728_n.jpg,http://picbear.com/media/1601486856306592056_4745717047,November 08 2017 - 11:45,September 11 2017 - 15:15,<p>The clash of clan (coc2017)</p>,6,0
November 08 2017 - 11:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21568536_166227500599298_8336535730603950080_n.jpg,http://picbear.com/media/1599876616922494600_4745717047,November 08 2017 - 11:45,September 09 2017 - 09:56,"<p>My friends,.😆😄😄😁 <a href=""http://picbear.com/alanwalkermusic"" title=""alanwalkermusic instagram profile"">@alanwalkermusic</a></p>",5,0
November 08 2017 - 11:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21433862_1953029268290644_8227260965045927936_n.jpg,http://picbear.com/media/1599875077528894294_4745717047,November 08 2017 - 11:45,September 09 2017 - 09:53,"<p>Liburan Sabtu,..🚗🚗😆😄</p>",9,1
