user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23347820_925024067672392_5035921327190441984_n.jpg,http://picbear.com/media/1643448294620553606_1637751407,November 08 2017 - 12:10,November 08 2017 - 12:45,"<p>Hay !! <a href=""http://picbear.com/tag/look"" title=""posts tagged as look"">#look</a> <a href=""http://picbear.com/tag/at"" title=""posts tagged as at"">#at</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/looksi"" title=""posts tagged as looksi"">#looksi</a>  LiNK : https://www.looksi.com /pretty-korea-เสื้อแจ็คเก็ต  <a href=""http://picbear.com/tag/jackets"" title=""posts tagged as jackets"">#jackets</a> <a href=""http://picbear.com/tag/onlineshop"" title=""posts tagged as onlineshop"">#onlineshop</a> <a href=""http://picbear.com/tag/promote"" title=""posts tagged as promote"">#promote</a> <a href=""http://picbear.com/tag/promotions2017"" title=""posts tagged as promotions2017"">#promotions2017</a> <a href=""http://picbear.com/tag/70"" title=""posts tagged as 70"">#70</a>% <a href=""http://picbear.com/tag/wow"" title=""posts tagged as wow"">#wow</a> <a href=""http://picbear.com/tag/blue"" title=""posts tagged as blue"">#blue</a> <a href=""http://picbear.com/tag/ziper"" title=""posts tagged as ziper"">#ziper</a> <a href=""http://picbear.com/tag/winteriscoming"" title=""posts tagged as winteriscoming"">#winteriscoming</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/lookbook"" title=""posts tagged as lookbook"">#lookbook</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/by"" title=""posts tagged as by"">#by</a> <a href=""http://picbear.com/tag/prettykorea"" title=""posts tagged as prettykorea"">#prettykorea</a> <a href=""http://picbear.com/tag/thank"" title=""posts tagged as thank"">#thank</a> <a href=""http://picbear.com/tag/you"" title=""posts tagged as you"">#you</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a></p>",6,1
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164734_193689917864541_918313241094914048_n.jpg,http://picbear.com/media/1641844330988877644_1637751407,November 08 2017 - 12:10,November 06 2017 - 07:38,"<p><a href=""http://picbear.com/tag/sukatiger"" title=""posts tagged as sukatiger"">#sukatiger</a> <a href=""http://picbear.com/tag/ecco"" title=""posts tagged as ecco"">#ecco</a> <a href=""http://picbear.com/tag/converse"" title=""posts tagged as converse"">#converse</a> <a href=""http://picbear.com/tag/we"" title=""posts tagged as we"">#we</a> <a href=""http://picbear.com/tag/are"" title=""posts tagged as are"">#are</a> <a href=""http://picbear.com/tag/jorney"" title=""posts tagged as jorney"">#jorney</a> <a href=""http://picbear.com/tag/hollydays"" title=""posts tagged as hollydays"">#hollydays</a></p>",7,0
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161711_302044053626432_1585643531307843584_n.jpg,http://picbear.com/media/1641797143013839589_1637751407,November 08 2017 - 12:10,November 06 2017 - 06:04,"<p>Thank you!! Work hard <a href=""http://picbear.com/tag/so"" title=""posts tagged as so"">#so</a> <a href=""http://picbear.com/tag/hot"" title=""posts tagged as hot"">#hot</a> <a href=""http://picbear.com/tag/onlineshop"" title=""posts tagged as onlineshop"">#onlineshop</a> <a href=""http://picbear.com/tag/prettykorea"" title=""posts tagged as prettykorea"">#prettykorea</a> <a href=""http://picbear.com/tag/looksi"" title=""posts tagged as looksi"">#looksi</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/fashionph"" title=""posts tagged as fashionph"">#fashionph</a> <a href=""http://picbear.com/tag/100"" title=""posts tagged as 100"">#100</a> <a href=""http://picbear.com/tag/promotions2017"" title=""posts tagged as promotions2017"">#promotions2017</a> <a href=""http://picbear.com/tag/11"" title=""posts tagged as 11"">#11</a> <a href=""http://picbear.com/tag/12"" title=""posts tagged as 12"">#12</a> <a href=""http://picbear.com/tag/new"" title=""posts tagged as new"">#new</a> <a href=""http://picbear.com/tag/thank"" title=""posts tagged as thank"">#thank</a> <a href=""http://picbear.com/tag/kiss"" title=""posts tagged as kiss"">#kiss</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a></p>",17,2
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101256_374862489602552_3171835882126704640_n.jpg,http://picbear.com/media/1636993604721689424_1637751407,November 08 2017 - 12:10,October 30 2017 - 15:01,"<p><a href=""http://picbear.com/tag/present"" title=""posts tagged as present"">#present</a> <a href=""http://picbear.com/tag/by"" title=""posts tagged as by"">#by</a> <a href=""http://picbear.com/tag/prettykorea"" title=""posts tagged as prettykorea"">#prettykorea</a> <a href=""http://picbear.com/tag/at"" title=""posts tagged as at"">#at</a> <a href=""http://picbear.com/tag/looksi"" title=""posts tagged as looksi"">#looksi</a> <a href=""http://picbear.com/tag/looksithailand"" title=""posts tagged as looksithailand"">#looksithailand</a> <a href=""http://picbear.com/tag/my"" title=""posts tagged as my"">#my</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/onlineshop"" title=""posts tagged as onlineshop"">#onlineshop</a> ~♡ Link : www.looksi.com/pretty-korea ~((&gt;_&gt;)) ~ ((^_^)) ~ ((○↓○))~ <a href=""http://picbear.com/tag/streetfashion"" title=""posts tagged as streetfashion"">#streetfashion</a> <a href=""http://picbear.com/tag/streetstyle"" title=""posts tagged as streetstyle"">#streetstyle</a> <a href=""http://picbear.com/tag/soulfashions"" title=""posts tagged as soulfashions"">#soulfashions</a> <a href=""http://picbear.com/tag/koreastyle"" title=""posts tagged as koreastyle"">#koreastyle</a> <a href=""http://picbear.com/tag/promote"" title=""posts tagged as promote"">#promote</a> <a href=""http://picbear.com/tag/80s"" title=""posts tagged as 80s"">#80s</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/fashions"" title=""posts tagged as fashions"">#fashions</a> <a href=""http://picbear.com/tag/yellow"" title=""posts tagged as yellow"">#yellow</a> <a href=""http://picbear.com/tag/yes"" title=""posts tagged as yes"">#yes</a> <a href=""http://picbear.com/tag/i"" title=""posts tagged as i"">#i</a> <a href=""http://picbear.com/tag/skert"" title=""posts tagged as skert"">#skert</a> <a href=""http://picbear.com/tag/cadigan"" title=""posts tagged as cadigan"">#cadigan</a> <a href=""http://picbear.com/tag/ขาย"" title=""posts tagged as ขาย"">#ขาย</a> <a href=""http://picbear.com/tag/ก"" title=""posts tagged as ก"">#ก</a>ันหนาว <a href=""http://picbear.com/tag/ซ"" title=""posts tagged as ซ"">#ซ</a>ื้อ <a href=""http://picbear.com/tag/ม"" title=""posts tagged as ม"">#ม</a>ี <a href=""http://picbear.com/tag/ฉ"" title=""posts tagged as ฉ"">#ฉ</a>ัน <a href=""http://picbear.com/tag/เธอ"" title=""posts tagged as เธอ"">#เธอ</a> <a href=""http://picbear.com/tag/สวย"" title=""posts tagged as สวย"">#สวย</a> <a href=""http://picbear.com/tag/โปร"" title=""posts tagged as โปร"">#โปร</a></p>",18,2
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101691_1739921829636001_8630503659077107712_n.jpg,http://picbear.com/media/1636983783700101667_1637751407,November 08 2017 - 12:10,October 30 2017 - 14:41,"<p><a href=""http://picbear.com/tag/present"" title=""posts tagged as present"">#present</a> <a href=""http://picbear.com/tag/by"" title=""posts tagged as by"">#by</a> <a href=""http://picbear.com/tag/prettykorea"" title=""posts tagged as prettykorea"">#prettykorea</a> <a href=""http://picbear.com/tag/at"" title=""posts tagged as at"">#at</a> <a href=""http://picbear.com/tag/looksi"" title=""posts tagged as looksi"">#looksi</a> <a href=""http://picbear.com/tag/looksithailand"" title=""posts tagged as looksithailand"">#looksithailand</a> <a href=""http://picbear.com/tag/my"" title=""posts tagged as my"">#my</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/onlineshop"" title=""posts tagged as onlineshop"">#onlineshop</a> ~♡ Link : www.looksi.com/pretty-korea ~((&gt;_&gt;)) ~ ((^_^)) ~ ((○↓○))~ <a href=""http://picbear.com/tag/streetfashion"" title=""posts tagged as streetfashion"">#streetfashion</a> <a href=""http://picbear.com/tag/streetstyle"" title=""posts tagged as streetstyle"">#streetstyle</a> <a href=""http://picbear.com/tag/soulfashions"" title=""posts tagged as soulfashions"">#soulfashions</a> <a href=""http://picbear.com/tag/koreastyle"" title=""posts tagged as koreastyle"">#koreastyle</a> <a href=""http://picbear.com/tag/promote"" title=""posts tagged as promote"">#promote</a> <a href=""http://picbear.com/tag/80s"" title=""posts tagged as 80s"">#80s</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/fashions"" title=""posts tagged as fashions"">#fashions</a> <a href=""http://picbear.com/tag/yellow"" title=""posts tagged as yellow"">#yellow</a> <a href=""http://picbear.com/tag/yes"" title=""posts tagged as yes"">#yes</a> <a href=""http://picbear.com/tag/i"" title=""posts tagged as i"">#i</a> <a href=""http://picbear.com/tag/skert"" title=""posts tagged as skert"">#skert</a> <a href=""http://picbear.com/tag/cadigan"" title=""posts tagged as cadigan"">#cadigan</a> <a href=""http://picbear.com/tag/ขาย"" title=""posts tagged as ขาย"">#ขาย</a> <a href=""http://picbear.com/tag/ก"" title=""posts tagged as ก"">#ก</a>ันหนาว <a href=""http://picbear.com/tag/ซ"" title=""posts tagged as ซ"">#ซ</a>ื้อ <a href=""http://picbear.com/tag/ม"" title=""posts tagged as ม"">#ม</a>ี <a href=""http://picbear.com/tag/ฉ"" title=""posts tagged as ฉ"">#ฉ</a>ัน <a href=""http://picbear.com/tag/เธอ"" title=""posts tagged as เธอ"">#เธอ</a> <a href=""http://picbear.com/tag/สวย"" title=""posts tagged as สวย"">#สวย</a> <a href=""http://picbear.com/tag/โปร"" title=""posts tagged as โปร"">#โปร</a></p>",10,1
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794565_123750381634523_3823299695564816384_n.jpg,http://picbear.com/media/1635468163150551148_1637751407,November 08 2017 - 12:10,October 28 2017 - 12:30,"<p><a href=""http://picbear.com/tag/nama"" title=""posts tagged as nama"">#nama</a> <a href=""http://picbear.com/tag/chocolate"" title=""posts tagged as chocolate"">#chocolate</a> <a href=""http://picbear.com/tag/fan"" title=""posts tagged as fan"">#fan</a> <a href=""http://picbear.com/tag/clupofthephoto"" title=""posts tagged as clupofthephoto"">#clupofthephoto</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/royce"" title=""posts tagged as royce"">#royce</a> <a href=""http://picbear.com/tag/we"" title=""posts tagged as we"">#we</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/choco"" title=""posts tagged as choco"">#choco</a> <a href=""http://picbear.com/tag/good"" title=""posts tagged as good"">#good</a> <a href=""http://picbear.com/tag/for"" title=""posts tagged as for"">#for</a> <a href=""http://picbear.com/tag/life"" title=""posts tagged as life"">#life</a> <a href=""http://picbear.com/tag/a"" title=""posts tagged as a"">#a</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/sweets"" title=""posts tagged as sweets"">#sweets</a> <a href=""http://picbear.com/tag/foods"" title=""posts tagged as foods"">#foods</a> <a href=""http://picbear.com/tag/snakes"" title=""posts tagged as snakes"">#snakes</a> <a href=""http://picbear.com/tag/r"" title=""posts tagged as r"">#r</a> <a href=""http://picbear.com/tag/red"" title=""posts tagged as red"">#red</a> <a href=""http://picbear.com/tag/wiss"" title=""posts tagged as wiss"">#wiss</a> <a href=""http://picbear.com/tag/omega"" title=""posts tagged as omega"">#omega</a> ! <a href=""http://picbear.com/tag/555"" title=""posts tagged as 555"">#555</a> &gt;&gt;#present <a href=""http://picbear.com/tag/prettykorea"" title=""posts tagged as prettykorea"">#prettykorea</a> <a href=""http://picbear.com/tag/by"" title=""posts tagged as by"">#by</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/hahaha"" title=""posts tagged as hahaha"">#hahaha</a> ((^_^))</p>",16,0
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857703_1337655579696080_5487392483866312704_n.jpg,http://picbear.com/media/1635455576950214321_1637751407,November 08 2017 - 12:10,October 28 2017 - 12:05,"<p><a href=""http://picbear.com/tag/my"" title=""posts tagged as my"">#my</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/girls"" title=""posts tagged as girls"">#girls</a> <a href=""http://picbear.com/tag/chihuahuas"" title=""posts tagged as chihuahuas"">#chihuahuas</a> <a href=""http://picbear.com/tag/banana"" title=""posts tagged as banana"">#banana</a> <a href=""http://picbear.com/tag/miss"" title=""posts tagged as miss"">#miss</a> <a href=""http://picbear.com/tag/cookky"" title=""posts tagged as cookky"">#cookky</a> <a href=""http://picbear.com/tag/y"" title=""posts tagged as y"">#y</a> <a href=""http://picbear.com/tag/yellow"" title=""posts tagged as yellow"">#yellow</a> <a href=""http://picbear.com/tag/dogs"" title=""posts tagged as dogs"">#dogs</a> <a href=""http://picbear.com/tag/princess"" title=""posts tagged as princess"">#princess</a> <a href=""http://picbear.com/tag/dogphotography"" title=""posts tagged as dogphotography"">#dogphotography</a> <a href=""http://picbear.com/tag/dogsofinstagram"" title=""posts tagged as dogsofinstagram"">#dogsofinstagram</a> <a href=""http://picbear.com/tag/insta"" title=""posts tagged as insta"">#insta</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a></p>",14,0
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794234_153901448548139_3781448795498217472_n.jpg,http://picbear.com/media/1635452777999052691_1637751407,November 08 2017 - 12:10,October 28 2017 - 11:59,"<p><a href=""http://picbear.com/tag/thank"" title=""posts tagged as thank"">#thank</a> <a href=""http://picbear.com/tag/you"" title=""posts tagged as you"">#you</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/for"" title=""posts tagged as for"">#for</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/my"" title=""posts tagged as my"">#my</a> <a href=""http://picbear.com/tag/trip"" title=""posts tagged as trip"">#trip</a> <a href=""http://picbear.com/tag/gift"" title=""posts tagged as gift"">#gift</a> <a href=""http://picbear.com/tag/halo"" title=""posts tagged as halo"">#halo</a> <a href=""http://picbear.com/tag/halloween"" title=""posts tagged as halloween"">#halloween</a> <a href=""http://picbear.com/tag/hello"" title=""posts tagged as hello"">#hello</a> <a href=""http://picbear.com/tag/japa"" title=""posts tagged as japa"">#japa</a> <a href=""http://picbear.com/tag/japanesefood"" title=""posts tagged as japanesefood"">#japanesefood</a> <a href=""http://picbear.com/tag/styles"" title=""posts tagged as styles"">#styles</a> <a href=""http://picbear.com/tag/japan"" title=""posts tagged as japan"">#japan</a></p>",12,0
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802294_417004388715360_7302504783380742144_n.jpg,http://picbear.com/media/1635450714024014642_1637751407,November 08 2017 - 12:10,October 28 2017 - 11:55,"<p><a href=""http://picbear.com/tag/co"" title=""posts tagged as co"">#co</a> <a href=""http://picbear.com/tag/cookky"" title=""posts tagged as cookky"">#cookky</a> <a href=""http://picbear.com/tag/good"" title=""posts tagged as good"">#good</a> <a href=""http://picbear.com/tag/snake"" title=""posts tagged as snake"">#snake</a> <a href=""http://picbear.com/tag/sweets"" title=""posts tagged as sweets"">#sweets</a> <a href=""http://picbear.com/tag/filmphotography"" title=""posts tagged as filmphotography"">#filmphotography</a> <a href=""http://picbear.com/tag/japanesefood"" title=""posts tagged as japanesefood"">#japanesefood</a> <a href=""http://picbear.com/tag/japanese"" title=""posts tagged as japanese"">#japanese</a> <a href=""http://picbear.com/tag/stly"" title=""posts tagged as stly"">#stly</a></p>",13,0
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22711121_831623833629084_6987749161655336960_n.jpg,http://picbear.com/media/1634719040910232701_1637751407,November 08 2017 - 12:10,October 27 2017 - 11:41,"<p><a href=""http://picbear.com/tag/explore"" title=""posts tagged as explore"">#explore</a> <a href=""http://picbear.com/tag/oishi"" title=""posts tagged as oishi"">#oishi</a> <a href=""http://picbear.com/tag/to"" title=""posts tagged as to"">#to</a> <a href=""http://picbear.com/tag/kawaii"" title=""posts tagged as kawaii"">#kawaii</a> # happy <a href=""http://picbear.com/tag/a"" title=""posts tagged as a"">#a</a> <a href=""http://picbear.com/tag/j"" title=""posts tagged as j"">#j</a> <a href=""http://picbear.com/tag/japan"" title=""posts tagged as japan"">#japan</a> <a href=""http://picbear.com/tag/japanese"" title=""posts tagged as japanese"">#japanese</a> <a href=""http://picbear.com/tag/foods"" title=""posts tagged as foods"">#foods</a> <a href=""http://picbear.com/tag/ramen"" title=""posts tagged as ramen"">#ramen</a> <a href=""http://picbear.com/tag/soba"" title=""posts tagged as soba"">#soba</a> <a href=""http://picbear.com/tag/soup"" title=""posts tagged as soup"">#soup</a> <a href=""http://picbear.com/tag/goodmorning"" title=""posts tagged as goodmorning"">#goodmorning</a> <a href=""http://picbear.com/tag/goodness"" title=""posts tagged as goodness"">#goodness</a> <a href=""http://picbear.com/tag/peple"" title=""posts tagged as peple"">#peple</a> <a href=""http://picbear.com/tag/good"" title=""posts tagged as good"">#good</a> <a href=""http://picbear.com/tag/goodnight"" title=""posts tagged as goodnight"">#goodnight</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> ~♡ Thank you All <a href=""http://picbear.com/tag/prettykorea"" title=""posts tagged as prettykorea"">#prettykorea</a> <a href=""http://picbear.com/tag/by"" title=""posts tagged as by"">#by</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> ~~~♡</p>",25,0
