user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 11:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164782_125863601437578_403797603805822976_n.jpg,http://picbear.com/media/1643037866496301754_4739586649,November 08 2017 - 11:29,November 07 2017 - 23:09,"<p>Saiba mais sobre Mediação de Conflitos e Dialoguismo no nosso site. Link na Bio.  <a href=""http://picbear.com/tag/mediacao"" title=""posts tagged as mediacao"">#mediacao</a> <a href=""http://picbear.com/tag/mediacaodeconflitos"" title=""posts tagged as mediacaodeconflitos"">#mediacaodeconflitos</a> <a href=""http://picbear.com/tag/mediacaoonline"" title=""posts tagged as mediacaoonline"">#mediacaoonline</a> <a href=""http://picbear.com/tag/mediacaofamiliar"" title=""posts tagged as mediacaofamiliar"">#mediacaofamiliar</a> <a href=""http://picbear.com/tag/mediacaoenpresarial"" title=""posts tagged as mediacaoenpresarial"">#mediacaoenpresarial</a> <a href=""http://picbear.com/tag/conflito"" title=""posts tagged as conflito"">#conflito</a> <a href=""http://picbear.com/tag/dialogo"" title=""posts tagged as dialogo"">#dialogo</a> <a href=""http://picbear.com/tag/primeirosdialogos"" title=""posts tagged as primeirosdialogos"">#primeirosdialogos</a> <a href=""http://picbear.com/tag/dialoguismo"" title=""posts tagged as dialoguismo"">#dialoguismo</a> <a href=""http://picbear.com/tag/dialogointerior"" title=""posts tagged as dialogointerior"">#dialogointerior</a> <a href=""http://picbear.com/tag/conflitoexistencial"" title=""posts tagged as conflitoexistencial"">#conflitoexistencial</a> <a href=""http://picbear.com/tag/relacionamento"" title=""posts tagged as relacionamento"">#relacionamento</a> <a href=""http://picbear.com/tag/familia"" title=""posts tagged as familia"">#familia</a> <a href=""http://picbear.com/tag/conflitofamiliar"" title=""posts tagged as conflitofamiliar"">#conflitofamiliar</a></p>",27,1
November 08 2017 - 11:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.1077.1077/23279733_849746038538757_2198166336562003968_n.jpg,http://picbear.com/media/1640871219929008068_4739586649,November 08 2017 - 11:29,November 04 2017 - 23:25,"<p>Saiba mais sobre Mediação de Conflitos e Dialoguismo no nosso site. Link na Bio.  <a href=""http://picbear.com/tag/mediacao"" title=""posts tagged as mediacao"">#mediacao</a> <a href=""http://picbear.com/tag/mediacaodeconflitos"" title=""posts tagged as mediacaodeconflitos"">#mediacaodeconflitos</a> <a href=""http://picbear.com/tag/mediacaoonline"" title=""posts tagged as mediacaoonline"">#mediacaoonline</a> <a href=""http://picbear.com/tag/mediacaofamiliar"" title=""posts tagged as mediacaofamiliar"">#mediacaofamiliar</a> <a href=""http://picbear.com/tag/mediacaoenpresarial"" title=""posts tagged as mediacaoenpresarial"">#mediacaoenpresarial</a> <a href=""http://picbear.com/tag/conflito"" title=""posts tagged as conflito"">#conflito</a> <a href=""http://picbear.com/tag/dialogo"" title=""posts tagged as dialogo"">#dialogo</a> <a href=""http://picbear.com/tag/primeirosdialogos"" title=""posts tagged as primeirosdialogos"">#primeirosdialogos</a> <a href=""http://picbear.com/tag/dialoguismo"" title=""posts tagged as dialoguismo"">#dialoguismo</a> <a href=""http://picbear.com/tag/dialogointerior"" title=""posts tagged as dialogointerior"">#dialogointerior</a> <a href=""http://picbear.com/tag/conflitoexistencial"" title=""posts tagged as conflitoexistencial"">#conflitoexistencial</a> <a href=""http://picbear.com/tag/relacionamento"" title=""posts tagged as relacionamento"">#relacionamento</a> <a href=""http://picbear.com/tag/familia"" title=""posts tagged as familia"">#familia</a> <a href=""http://picbear.com/tag/conflitofamiliar"" title=""posts tagged as conflitofamiliar"">#conflitofamiliar</a></p>",25,0
November 08 2017 - 11:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.1077.1077/23101094_536580153355836_485546722827698176_n.jpg,http://picbear.com/media/1640104926938311867_4739586649,November 08 2017 - 11:29,November 03 2017 - 22:02,"<p>Saiba mais sobre Mediação de Conflitos e Dialoguismo no nosso site. Link na Bio.  <a href=""http://picbear.com/tag/mediacao"" title=""posts tagged as mediacao"">#mediacao</a> <a href=""http://picbear.com/tag/mediacaodeconflitos"" title=""posts tagged as mediacaodeconflitos"">#mediacaodeconflitos</a> <a href=""http://picbear.com/tag/mediacaoonline"" title=""posts tagged as mediacaoonline"">#mediacaoonline</a> <a href=""http://picbear.com/tag/mediacaofamiliar"" title=""posts tagged as mediacaofamiliar"">#mediacaofamiliar</a> <a href=""http://picbear.com/tag/mediacaoenpresarial"" title=""posts tagged as mediacaoenpresarial"">#mediacaoenpresarial</a> <a href=""http://picbear.com/tag/conflito"" title=""posts tagged as conflito"">#conflito</a> <a href=""http://picbear.com/tag/dialogo"" title=""posts tagged as dialogo"">#dialogo</a> <a href=""http://picbear.com/tag/primeirosdialogos"" title=""posts tagged as primeirosdialogos"">#primeirosdialogos</a> <a href=""http://picbear.com/tag/dialoguismo"" title=""posts tagged as dialoguismo"">#dialoguismo</a> <a href=""http://picbear.com/tag/dialogointerior"" title=""posts tagged as dialogointerior"">#dialogointerior</a> <a href=""http://picbear.com/tag/conflitoexistencial"" title=""posts tagged as conflitoexistencial"">#conflitoexistencial</a> <a href=""http://picbear.com/tag/relacionamento"" title=""posts tagged as relacionamento"">#relacionamento</a> <a href=""http://picbear.com/tag/familia"" title=""posts tagged as familia"">#familia</a> <a href=""http://picbear.com/tag/conflitofamiliar"" title=""posts tagged as conflitofamiliar"">#conflitofamiliar</a></p>",26,0
November 08 2017 - 11:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.1077.1077/23164945_188841125009894_7845693210021068800_n.jpg,http://picbear.com/media/1639416170765763095_4739586649,November 08 2017 - 11:29,November 02 2017 - 23:14,"<p>Saiba mais sobre Mediação de Conflitos e Dialoguismo no nosso site. Link na Bio.  <a href=""http://picbear.com/tag/mediacao"" title=""posts tagged as mediacao"">#mediacao</a> <a href=""http://picbear.com/tag/mediacaodeconflitos"" title=""posts tagged as mediacaodeconflitos"">#mediacaodeconflitos</a> <a href=""http://picbear.com/tag/mediacaoonline"" title=""posts tagged as mediacaoonline"">#mediacaoonline</a> <a href=""http://picbear.com/tag/mediacaofamiliar"" title=""posts tagged as mediacaofamiliar"">#mediacaofamiliar</a> <a href=""http://picbear.com/tag/mediacaoenpresarial"" title=""posts tagged as mediacaoenpresarial"">#mediacaoenpresarial</a> <a href=""http://picbear.com/tag/conflito"" title=""posts tagged as conflito"">#conflito</a> <a href=""http://picbear.com/tag/dialogo"" title=""posts tagged as dialogo"">#dialogo</a> <a href=""http://picbear.com/tag/primeirosdialogos"" title=""posts tagged as primeirosdialogos"">#primeirosdialogos</a> <a href=""http://picbear.com/tag/dialoguismo"" title=""posts tagged as dialoguismo"">#dialoguismo</a> <a href=""http://picbear.com/tag/dialogointerior"" title=""posts tagged as dialogointerior"">#dialogointerior</a> <a href=""http://picbear.com/tag/conflitoexistencial"" title=""posts tagged as conflitoexistencial"">#conflitoexistencial</a> <a href=""http://picbear.com/tag/relacionamento"" title=""posts tagged as relacionamento"">#relacionamento</a> <a href=""http://picbear.com/tag/familia"" title=""posts tagged as familia"">#familia</a> <a href=""http://picbear.com/tag/conflitofamiliar"" title=""posts tagged as conflitofamiliar"">#conflitofamiliar</a></p>",29,0
November 08 2017 - 11:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.1077.1077/22860669_1740238096011039_1332504876210454528_n.jpg,http://picbear.com/media/1636479300398258058_4739586649,November 08 2017 - 11:29,October 29 2017 - 21:59,"<p>Saiba mais sobre Mediação de Conflitos e Dialoguismo no nosso site. Link na Bio.  <a href=""http://picbear.com/tag/mediacao"" title=""posts tagged as mediacao"">#mediacao</a> <a href=""http://picbear.com/tag/mediacaodeconflitos"" title=""posts tagged as mediacaodeconflitos"">#mediacaodeconflitos</a> <a href=""http://picbear.com/tag/mediacaoonline"" title=""posts tagged as mediacaoonline"">#mediacaoonline</a> <a href=""http://picbear.com/tag/mediacaofamiliar"" title=""posts tagged as mediacaofamiliar"">#mediacaofamiliar</a> <a href=""http://picbear.com/tag/mediacaoenpresarial"" title=""posts tagged as mediacaoenpresarial"">#mediacaoenpresarial</a> <a href=""http://picbear.com/tag/conflito"" title=""posts tagged as conflito"">#conflito</a> <a href=""http://picbear.com/tag/dialogo"" title=""posts tagged as dialogo"">#dialogo</a> <a href=""http://picbear.com/tag/primeirosdialogos"" title=""posts tagged as primeirosdialogos"">#primeirosdialogos</a> <a href=""http://picbear.com/tag/dialoguismo"" title=""posts tagged as dialoguismo"">#dialoguismo</a> <a href=""http://picbear.com/tag/dialogointerior"" title=""posts tagged as dialogointerior"">#dialogointerior</a> <a href=""http://picbear.com/tag/conflitoexistencial"" title=""posts tagged as conflitoexistencial"">#conflitoexistencial</a> <a href=""http://picbear.com/tag/relacionamento"" title=""posts tagged as relacionamento"">#relacionamento</a> <a href=""http://picbear.com/tag/familia"" title=""posts tagged as familia"">#familia</a> <a href=""http://picbear.com/tag/conflitofamiliar"" title=""posts tagged as conflitofamiliar"">#conflitofamiliar</a></p>",21,0
November 08 2017 - 11:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.1077.1077/22860581_185535495337351_7197871739303362560_n.jpg,http://picbear.com/media/1635786311258852403_4739586649,November 08 2017 - 11:29,October 28 2017 - 23:02,"<p>Saiba mais sobre Mediação de Conflitos e Dialoguismo no nosso site. Link na Bio.  <a href=""http://picbear.com/tag/mediacao"" title=""posts tagged as mediacao"">#mediacao</a> <a href=""http://picbear.com/tag/mediacaodeconflitos"" title=""posts tagged as mediacaodeconflitos"">#mediacaodeconflitos</a> <a href=""http://picbear.com/tag/mediacaoonline"" title=""posts tagged as mediacaoonline"">#mediacaoonline</a> <a href=""http://picbear.com/tag/mediacaofamiliar"" title=""posts tagged as mediacaofamiliar"">#mediacaofamiliar</a> <a href=""http://picbear.com/tag/mediacaoenpresarial"" title=""posts tagged as mediacaoenpresarial"">#mediacaoenpresarial</a> <a href=""http://picbear.com/tag/conflito"" title=""posts tagged as conflito"">#conflito</a> <a href=""http://picbear.com/tag/dialogo"" title=""posts tagged as dialogo"">#dialogo</a> <a href=""http://picbear.com/tag/primeirosdialogos"" title=""posts tagged as primeirosdialogos"">#primeirosdialogos</a> <a href=""http://picbear.com/tag/dialoguismo"" title=""posts tagged as dialoguismo"">#dialoguismo</a> <a href=""http://picbear.com/tag/dialogointerior"" title=""posts tagged as dialogointerior"">#dialogointerior</a> <a href=""http://picbear.com/tag/conflitoexistencial"" title=""posts tagged as conflitoexistencial"">#conflitoexistencial</a> <a href=""http://picbear.com/tag/relacionamento"" title=""posts tagged as relacionamento"">#relacionamento</a> <a href=""http://picbear.com/tag/familia"" title=""posts tagged as familia"">#familia</a> <a href=""http://picbear.com/tag/conflitofamiliar"" title=""posts tagged as conflitofamiliar"">#conflitofamiliar</a></p>",25,0
November 08 2017 - 11:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.1077.1077/22793682_1778232395810696_1099638007188684800_n.jpg,http://picbear.com/media/1635073820794822819_4739586649,November 08 2017 - 11:29,October 27 2017 - 23:26,"<p>Saiba mais sobre Mediação de Conflitos e Dialoguismo no nosso site. Link na Bio.  <a href=""http://picbear.com/tag/mediacao"" title=""posts tagged as mediacao"">#mediacao</a> <a href=""http://picbear.com/tag/mediacaodeconflitos"" title=""posts tagged as mediacaodeconflitos"">#mediacaodeconflitos</a> <a href=""http://picbear.com/tag/mediacaoonline"" title=""posts tagged as mediacaoonline"">#mediacaoonline</a> <a href=""http://picbear.com/tag/mediacaofamiliar"" title=""posts tagged as mediacaofamiliar"">#mediacaofamiliar</a> <a href=""http://picbear.com/tag/mediacaoenpresarial"" title=""posts tagged as mediacaoenpresarial"">#mediacaoenpresarial</a> <a href=""http://picbear.com/tag/conflito"" title=""posts tagged as conflito"">#conflito</a> <a href=""http://picbear.com/tag/dialogo"" title=""posts tagged as dialogo"">#dialogo</a> <a href=""http://picbear.com/tag/primeirosdialogos"" title=""posts tagged as primeirosdialogos"">#primeirosdialogos</a> <a href=""http://picbear.com/tag/dialoguismo"" title=""posts tagged as dialoguismo"">#dialoguismo</a> <a href=""http://picbear.com/tag/dialogointerior"" title=""posts tagged as dialogointerior"">#dialogointerior</a> <a href=""http://picbear.com/tag/conflitoexistencial"" title=""posts tagged as conflitoexistencial"">#conflitoexistencial</a> <a href=""http://picbear.com/tag/relacionamento"" title=""posts tagged as relacionamento"">#relacionamento</a> <a href=""http://picbear.com/tag/familia"" title=""posts tagged as familia"">#familia</a> <a href=""http://picbear.com/tag/conflitofamiliar"" title=""posts tagged as conflitofamiliar"">#conflitofamiliar</a></p>",27,2
November 08 2017 - 11:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.1077.1077/22710380_1105290249607811_5404658636217647104_n.jpg,http://picbear.com/media/1631452483224432002_4739586649,November 08 2017 - 11:29,October 22 2017 - 23:31,"<p>Nossa parceira tem mais de 20 anos de experiência em gestão de marcas. Além  disso, facilta grupos e constroí culturas corporativas. Tânia Savaget é Mediadora, Facilitadora e Publicitária. Estas diferenças nos tornam indispensáveis para trazer inúmeras possibilidades para a Mediação. Saiba mais sobre nossa equipe no site. Link na Bio.  <a href=""http://picbear.com/tag/mediacao"" title=""posts tagged as mediacao"">#mediacao</a> <a href=""http://picbear.com/tag/mediacaodeconflitos"" title=""posts tagged as mediacaodeconflitos"">#mediacaodeconflitos</a> <a href=""http://picbear.com/tag/mediacaoonline"" title=""posts tagged as mediacaoonline"">#mediacaoonline</a> <a href=""http://picbear.com/tag/mediacaofamiliar"" title=""posts tagged as mediacaofamiliar"">#mediacaofamiliar</a> <a href=""http://picbear.com/tag/mediacaoenpresarial"" title=""posts tagged as mediacaoenpresarial"">#mediacaoenpresarial</a> <a href=""http://picbear.com/tag/conflito"" title=""posts tagged as conflito"">#conflito</a> <a href=""http://picbear.com/tag/dialogo"" title=""posts tagged as dialogo"">#dialogo</a> <a href=""http://picbear.com/tag/primeirosdialogos"" title=""posts tagged as primeirosdialogos"">#primeirosdialogos</a> <a href=""http://picbear.com/tag/dialoguismo"" title=""posts tagged as dialoguismo"">#dialoguismo</a> <a href=""http://picbear.com/tag/dialogointerior"" title=""posts tagged as dialogointerior"">#dialogointerior</a> <a href=""http://picbear.com/tag/conflitoexistencial"" title=""posts tagged as conflitoexistencial"">#conflitoexistencial</a> <a href=""http://picbear.com/tag/relacionamento"" title=""posts tagged as relacionamento"">#relacionamento</a> <a href=""http://picbear.com/tag/familia"" title=""posts tagged as familia"">#familia</a> <a href=""http://picbear.com/tag/conflitofamiliar"" title=""posts tagged as conflitofamiliar"">#conflitofamiliar</a></p>",34,0
November 08 2017 - 11:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.1078.1078/22637051_1697384500333728_4750312809529606144_n.jpg,http://picbear.com/media/1630727607945660941_4739586649,November 08 2017 - 11:29,October 21 2017 - 23:31,"<p>Uma boa estrutura social nasce do indivíduo e família equilibrados. Manter estas relações saudáveis é o proposito do Dialoguista, Mediador e Diretor de Arte, Renato Zurlini. Diversidade é a palavra que define nossa equipe do Primeiros Diálogos. Saiba mais sobre nosso time no site. Link na Bio.  <a href=""http://picbear.com/tag/mediacao"" title=""posts tagged as mediacao"">#mediacao</a> <a href=""http://picbear.com/tag/mediacaodeconflitos"" title=""posts tagged as mediacaodeconflitos"">#mediacaodeconflitos</a> <a href=""http://picbear.com/tag/mediacaoonline"" title=""posts tagged as mediacaoonline"">#mediacaoonline</a> <a href=""http://picbear.com/tag/mediacaofamiliar"" title=""posts tagged as mediacaofamiliar"">#mediacaofamiliar</a> <a href=""http://picbear.com/tag/mediacaoenpresarial"" title=""posts tagged as mediacaoenpresarial"">#mediacaoenpresarial</a> <a href=""http://picbear.com/tag/conflito"" title=""posts tagged as conflito"">#conflito</a> <a href=""http://picbear.com/tag/dialogo"" title=""posts tagged as dialogo"">#dialogo</a> <a href=""http://picbear.com/tag/primeirosdialogos"" title=""posts tagged as primeirosdialogos"">#primeirosdialogos</a> <a href=""http://picbear.com/tag/dialoguismo"" title=""posts tagged as dialoguismo"">#dialoguismo</a> <a href=""http://picbear.com/tag/dialogointerior"" title=""posts tagged as dialogointerior"">#dialogointerior</a> <a href=""http://picbear.com/tag/conflitoexistencial"" title=""posts tagged as conflitoexistencial"">#conflitoexistencial</a> <a href=""http://picbear.com/tag/relacionamento"" title=""posts tagged as relacionamento"">#relacionamento</a> <a href=""http://picbear.com/tag/familia"" title=""posts tagged as familia"">#familia</a> <a href=""http://picbear.com/tag/conflitofamiliar"" title=""posts tagged as conflitofamiliar"">#conflitofamiliar</a></p>",60,5
November 08 2017 - 11:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22638691_490245514687185_6280125352287141888_n.jpg,http://picbear.com/media/1630028819769600422_4739586649,November 08 2017 - 11:29,October 21 2017 - 00:23,"<p>Transitar em comunidades e condomínios, os chamados ‘intramuros”, é o dia a dia do Advogado e Mediador, Michel Rosental Wagner. O time de Mediadores do Primeiros Diálogos é formado por profissionais com inúmeras habilidades. Conheça nossa equipe no site. Link na Bio. <a href=""http://picbear.com/tag/mediacao"" title=""posts tagged as mediacao"">#mediacao</a> <a href=""http://picbear.com/tag/mediacaodeconflitos"" title=""posts tagged as mediacaodeconflitos"">#mediacaodeconflitos</a> <a href=""http://picbear.com/tag/mediacaoonline"" title=""posts tagged as mediacaoonline"">#mediacaoonline</a> <a href=""http://picbear.com/tag/mediacaofamiliar"" title=""posts tagged as mediacaofamiliar"">#mediacaofamiliar</a> <a href=""http://picbear.com/tag/mediacaoenpresarial"" title=""posts tagged as mediacaoenpresarial"">#mediacaoenpresarial</a> <a href=""http://picbear.com/tag/conflito"" title=""posts tagged as conflito"">#conflito</a> <a href=""http://picbear.com/tag/dialogo"" title=""posts tagged as dialogo"">#dialogo</a> <a href=""http://picbear.com/tag/primeirosdialogos"" title=""posts tagged as primeirosdialogos"">#primeirosdialogos</a> <a href=""http://picbear.com/tag/dialoguismo"" title=""posts tagged as dialoguismo"">#dialoguismo</a> <a href=""http://picbear.com/tag/dialogointerior"" title=""posts tagged as dialogointerior"">#dialogointerior</a> <a href=""http://picbear.com/tag/conflitoexistencial"" title=""posts tagged as conflitoexistencial"">#conflitoexistencial</a> <a href=""http://picbear.com/tag/relacionamento"" title=""posts tagged as relacionamento"">#relacionamento</a> <a href=""http://picbear.com/tag/familia"" title=""posts tagged as familia"">#familia</a> <a href=""http://picbear.com/tag/conflitofamiliar"" title=""posts tagged as conflitofamiliar"">#conflitofamiliar</a></p>",31,2
