user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802301_2088750461354140_9102182589636018176_n.jpg,http://picbear.com/media/1634962708499422183_1728008454,November 08 2017 - 12:09,October 27 2017 - 19:46,,16,6
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22857687_488435691540816_2890804644257202176_n.jpg,http://picbear.com/media/1634962391443584589_1728008454,November 08 2017 - 12:09,October 27 2017 - 19:45,,14,4
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.18.320.320/22709422_2011971642366403_41523962861060096_n.jpg,http://picbear.com/media/1631467093270317453_1728008454,November 08 2017 - 12:09,October 23 2017 - 00:00,,5,0
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22638683_150762158871692_5490998147566010368_n.jpg,http://picbear.com/media/1631466292879757874_1728008454,November 08 2017 - 12:09,October 22 2017 - 23:59,,4,0
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710224_1927078404200366_8208357735939440640_n.jpg,http://picbear.com/media/1631465540304172755_1728008454,November 08 2017 - 12:09,October 22 2017 - 23:57,,5,0
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710566_1141338922665779_780049881535348736_n.jpg,http://picbear.com/media/1631465424440676605_1728008454,November 08 2017 - 12:09,October 22 2017 - 23:57,,6,1
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637796_406408823109717_6499438923725406208_n.jpg,http://picbear.com/media/1631465256718782887_1728008454,November 08 2017 - 12:09,October 22 2017 - 23:57,,7,5
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710659_361475697646566_5222026645287731200_n.jpg,http://picbear.com/media/1631465048823902909_1728008454,November 08 2017 - 12:09,October 22 2017 - 23:56,,3,0
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22708913_304165703395395_3364077686287761408_n.jpg,http://picbear.com/media/1631464889759244845_1728008454,November 08 2017 - 12:09,October 22 2017 - 23:56,,5,1
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710741_413381119065128_1494034369965195264_n.jpg,http://picbear.com/media/1631309321597809578_1728008454,November 08 2017 - 12:09,October 22 2017 - 18:47,,9,9
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580635_1970098223270599_8771571344518152192_n.jpg,http://picbear.com/media/1628219749196120848_1728008454,November 08 2017 - 12:09,October 18 2017 - 12:29,,12,5
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500307_175621136323803_8326169376063488000_n.jpg,http://picbear.com/media/1628218590989401902_1728008454,November 08 2017 - 12:09,October 18 2017 - 12:26,,5,0
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/10990544_661660130628210_931413532_n.jpg,http://picbear.com/media/930329377360968930_1728008454,November 08 2017 - 12:09,February 28 2015 - 13:45,,7,4
November 08 2017 - 12:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/10932568_1557868377786744_969167961_n.jpg,http://picbear.com/media/930315569485709287_1728008454,November 08 2017 - 12:09,February 28 2015 - 13:17,,11,5
