top_user_date,username,rank (follower_count),media_scrape_dt,media_url,medadata_scrape,likes,comments
2017-11-08,instagram,1 (227649085),2017-11-08 10:27:02.600739,http://picbear.com/media/1643126539099623082_25025320,2017-11-08 10:27:04.832633,"['akankasartist_', 'melissa_blondel', 'dnagar_', 'ksdvnpz', 'wine_445', 'mini2764', 'khushal.mehra942', '4dcaracas', 'geoffreykiiriiti', 'muhanad.17', 'shivam_rana234', 'marcoragio', 'nanceletsdance', 'fara.frskaaa', 'nemi_choudhary_yuva_neta']","['adult_hoodie', 'leiaslaw', 'duvan_420', 'kinzzyjohn', 'gehad.alsayd', 'fw.jesse_', 'just_pheeebs', 'neal_wld', 'suna_ozturk', 'masonlaine']"
2017-11-08,instagram,1 (227649085),2017-11-08 10:27:02.600739,http://picbear.com/media/1643097928636455338_25025320,2017-11-08 10:27:06.913598,"['tarun_bhambhu', 'chaitanya.roy', 'panoskoulas', 'naomiohata', 'abedin_moradi', 'cdmoura', 'vicky_phalke_4646', 'shad_khan0909', '_maceska_', 'ayman_ar777', 'novitakwoo', 'nhurjaman54', 'johannaa_kern', 'labreu._', 'ali_nikakhtar']","['marwood51', 'bo0mika', 'gamzeislamoglu', 'abdullakhx', 'alecsandr_linshtein', 'zach.urbanowski', 'suna_ozturk', 'ruby_2211']"
2017-11-08,instagram,1 (227649085),2017-11-08 10:27:02.600739,http://picbear.com/media/1643010056566164606_25025320,2017-11-08 10:27:08.309138,"['alleexiaaa', 'hairshop_ru34', 'elisepriivatt', 'haniarat', 'ismailazbay', 'shad_khan0909', 'bac277', 'shahid_089', 'prasheetmishra', 'ahad.jafarian', 'ayush_sharma_1526_', 'vishvesh.sheoran', '_duongzzzz_', 'jjobbiiz', 'yasaman.ba']","['giybet.yuvasi', 'gehaadadel3116', 'abdullakhx', 'thevvvbrand', 'shabnam__baranii', 'marziaacuto', 'marinamaisephotography', 'sarath_shivan']"
2017-11-08,instagram,1 (227649085),2017-11-08 10:27:02.600739,http://picbear.com/media/1642596751679338241_25025320,2017-11-08 10:27:09.775351,"['mad.dy04', 'jacobs_98', 'riya_1911', 'gung.putrii', 'i_afsane.x', 'anushreeta_16', 'angelaottero', 'mash.gourab', 'kokekaream', 'ganesh_bhabor', 'vichii99', '00_julia_vo_00', 'fajrilrafsanjani2', 'jamjoom60', 'noc_act']","['beautylass247', 'mengyi_gao', 'gamilaahmed777', 'diazesam', 'anabagsana', 'shabnam__baranii', '_mer.a.ki_', 'kaldal.saadi1966', 'selena__gomezm', 'jazzy20039195']"
2017-11-08,instagram,1 (227649085),2017-11-08 10:27:02.600739,http://picbear.com/media/1642484717239306857_25025320,2017-11-08 10:27:11.329123,"['moovarnba', 'hacker__boy1432', 'upal_imam', 'shobh_virk', 'bayragim_tek_askim', 'pic_art_rock_studio', 'laurajaskowiec', 'intikhab_r_raza', 'taralp', 'yere457', 'hannahtran_96', 'tejerinabrayan', 'bubagolovan', 'dwightlloweh', 'candaisy_g']","['gehad.ahmed08', 'm4_tran_05', 'marimillanperez', 'shivansh9777', 'm.ridwan_z', 'magmullen', 'scass64', 'samiyaticutez', 'ezdihar2001', 'rajpoota011']"
2017-11-08,instagram,1 (227649085),2017-11-08 10:27:02.600739,http://picbear.com/media/1642430494778670080_25025320,2017-11-08 10:27:14.007430,"['benjamin_encina456', 'gung.putrii', 'darius_maran23', 'aman_rajput1282', 'tejerinabrayan', 'olik_kolik', 'angel.karuna', 'polina_3065_', 'amirho3_3ein', 'behzad_rahimiii', 'prashant_thumma', 'jaquesabhi', 'elliefanten_4', 'irfadhirfu', 'durkarharshad']","['gdyrsfr8316', 'zapaata', 'geekbtoredans1977', 'marimillanperez', 'carmelavalentina', 'frasicolour', 'mamik.world', 'selena__gomezm', 'trassellisa']"
2017-11-08,instagram,1 (227649085),2017-11-08 10:27:02.600739,http://picbear.com/media/1641608775134544200_25025320,2017-11-08 10:27:15.936948,"['georgigoldberg', 'aoisupanee', 'royal.naibov', 'kelvin_trindadebr', 'toka_hossam_adel', 'hormetalagoz', 'diyanair', 'shivam.100', 'manaa.hussein', 'farinshaikh4730', 'lovepreet_rana', 'rouaiaiseid_1234', 'hooman.vahedi', 'ieatintuscany', 'sabaniskesen7186']","['m4_tran_05', 'mhmdmhmdy5386', 'devo563996', 'aarfaeaves', 'ceyhun_fotoqraf_', 'frosildapolena', 'deborahansah055', 'loulou_dms', 'primeirosdialogos', 'enockyiadom3414']"
2017-11-08,instagram,1 (227649085),2017-11-08 10:27:02.600739,http://picbear.com/media/1641522962585610632_25025320,2017-11-08 10:27:18.151696,"['toka_hossam_adel', 'athraasalih', 'bimocendekiarto', 'gyawalivivek', 'shubham.__007', 'azrene_1546003534', 'ylianaiskakova', 'jai_narayan_thakur', 'blackflami', 'bmxboy808', 'carolinaschwaiger', 'felixis2005', '13_jeet__', 'anwar_da_el_cuerpo', 'kledi_rina']","['sweetogirl0986', 'vassmusic_', 'permatasari.05', 'gamilaahmed777', 'reall_princess_candy', 'frasicolour', 'helen_moghadm', 'frosildapolena', 'deseo_verte', 'karan__soni__ks']"
2017-11-08,instagram,1 (227649085),2017-11-08 10:27:02.600739,http://picbear.com/media/1641493011488396489_25025320,2017-11-08 10:27:20.418599,"['sergibiel', 'offc.nb', 'pratama.zt', 'rifaatsari000', '_lionu', 'ol.cowalyow', '_tulayilmaz', '__.alinajafifar.__', 'duhitzpia.1', 'daii_munoz57', 'pin_paveenuch', '9fronce', 'jazzzzxcs', 'leohakozaki', 'sa.sha2252']","['louisejouvenet', 'anthonia_r', 'criffapou', '_mahmoudzahra', 'teestalk', 'frosildapolena', 'lenaevelynmosby', 'akashvasav_photography', 'pretty_shopkorea', 'tatti_khale_']"
2017-11-08,instagram,1 (227649085),2017-11-08 10:27:02.600739,http://picbear.com/media/1640801085109917788_25025320,2017-11-08 10:27:22.153369,"['lisa_belyaeva', 'pandey2864', 'valerieramouna', 'franznuzzo', '_.iamveer._', 'js2304008', '__.alinajafifar.__', 'farinshaikh4730', '_natik_happy_', 'pauserrat9', 'gaven_batth', 'miqihex.co', 'c.galvan2013', 'henry_ardyansyah', 'musicholic_shubham']","['kafxkef', 'meer_bahadur_baloch', 'amirho3einveisi', 'juztafan', 'onar_derya', 'frosildapolena', 'j_falcs', 'salih5776', 'mohammad.rabbi']"
2017-11-08,selenagomez,2 (129560371),2017-11-08 10:27:22.159608,http://picbear.com/media/1636495757689271284_460563723,2017-11-08 10:27:25.102698,"['ulkaefendii', 'bhavya.gandhi.holics', 'shakilaradzi', 'smarty_girl__78_', 'rayan.asmar0', 'grosir_olshop_', 'hrishikeshlingayat', 'it_wasnt_me_4522', '_rchcel', 'gemini_reborn_nursery', 'ioanarusu24', '___n.27___', 'gopisaratyagi', 'philippeulhoa', 's_vargass9']","['girlsuperior', 'valerie_waceadac_', 'lilachbokov', 'lanny_photos', '__ahmed__gad__', 'tamaradisalerno', 'mawalee19', 'silviqnada', 'brazzersnicole._623']"
2017-11-08,selenagomez,2 (129560371),2017-11-08 10:27:22.159608,http://picbear.com/media/1633513898185480632_460563723,2017-11-08 10:27:26.568982,"['jovy1996', '_insxne_ixn_', 'talitharhy_', 'ngocanhyl', 'danil_boyko_6', 'erfan_barauoie1900', 'sunakshi._.13', 'hai_spamms', 'ariskaa_s', 'gemini_reborn_nursery', '___n.27___', 'not_kardashian.jenner', 'silviqnada', 'emnuelsa_', 'philippeulhoa']","['cannieclarklevingne', '_vasilov', 'tboukraya', 'khanna30', 'safiq_a.m', 'girlsuperior', 'selenaseli_official', 'shabnam__baranii', 'brazzersnicole._623']"
2017-11-08,selenagomez,2 (129560371),2017-11-08 10:27:22.159608,http://picbear.com/media/1633513167529353172_460563723,2017-11-08 10:27:28.300700,"['melaninmedusaaa', 'buchei_denisa', 'lilivera96', 'meeshanur_k', 'ngocanhyl', 'namiraprasetyaa_', 'mujeeb_sediqi', 'it_wasnt_me_4522', 'mohammadghasemi_', '_rchcel', 'kyliejson', 'lps1374', 'emnuelsa_', 'ssana5019', 'philippeulhoa']","['abdullakhx', 'squishyshop230.spam.acc', 'gleycejapira', 'shabnam__baranii', 'elizabeth_sagan', 'shawtyyybad122_', 'hana2iiita', '_g.i.n.y_', 'pandit_shubham_bhardwaj']"
2017-11-08,selenagomez,2 (129560371),2017-11-08 10:27:22.159608,http://picbear.com/media/1633512804092829620_460563723,2017-11-08 10:27:32.296980,"['melaninmedusaaa', 'buchei_denisa', 'lilivera96', 'scandalstik', 'firmanmo16', 'talitharhy_', 'ngocanhyl', 'evodiea4657', '_rchcel', 'lps1374', 'ranzzandnianaa.id', 'emnuelsa_', 'eden.masson', 'philippeulhoa', 'connectedgomez']","['lsellina', 'yunus_474747', 'dr.mohammad_arabi', 'usamah_as']"
2017-11-08,selenagomez,2 (129560371),2017-11-08 10:27:22.159608,http://picbear.com/media/1632797732991296932_460563723,2017-11-08 10:27:33.521237,"['melaninmedusaaa', 'buchei_denisa', 'firmanmo16', 'talitharhy_', 'ngocanhyl', 'noemerson_nascimento', 'efe_rdgnn', 'benthonglo', '_rchcel', 'kyliejson', 'lps1374', 'emnuelsa_', 'ssana5019', 'steph139998', 'philippeulhoa']","['shy_ipsymus', 'yunus_474747', 'deletedagha', 'alex.tone', 'lsellina', 'junior_diiogo', 'vanny_sole90']"
2017-11-08,selenagomez,2 (129560371),2017-11-08 10:27:22.159608,http://picbear.com/media/1632797119607957041_460563723,2017-11-08 10:27:34.756965,"['buchei_denisa', 'mindmedia', 'lilivera96', 'suliiivan_gweed', 'meeshanur_k', 'ngocanhyl', 'aldebaranb13', 'pouya5243', 'andinitantrii', 'elisamamendez', '_rchcel', 'sharma_sarswat', 'emnuelsa_', 'eden.masson', 'philippeulhoa']","['be_lovely143', 'deletedagha', 'nhatgiang202', 'roozbeh.sh95', 'a.a_syed', 'gleycejapira', 'mhrshdbm', 'majaelisetokle', 'barachoivan']"
