user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 14:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.748.748/22639046_130925637571018_3384714836641316864_n.jpg,http://picbear.com/media/1632241858594087217_1429649029,November 08 2017 - 14:15,October 24 2017 - 01:40,<p>❤️❤️❤️❤️❤️</p>,60,1
November 08 2017 - 14:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22159364_1300374410089884_7531294989704232960_n.jpg,http://picbear.com/media/1617645520770544432_1429649029,November 08 2017 - 14:15,October 03 2017 - 22:19,,207,2
November 08 2017 - 14:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21690794_870788903079797_4351294288848486400_n.jpg,http://picbear.com/media/1606904609639808988_1429649029,November 08 2017 - 14:15,September 19 2017 - 02:39,,187,5
November 08 2017 - 14:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.900.900/21569077_1578524192238948_4057314325876965376_n.jpg,http://picbear.com/media/1599364161908090193_1429649029,November 08 2017 - 14:15,September 08 2017 - 16:58,,199,2
November 08 2017 - 14:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.115.1080.1080/21224434_276696139490984_4794928431584247808_n.jpg,http://picbear.com/media/1594482979517022695_1429649029,November 08 2017 - 14:15,September 01 2017 - 23:20,,235,0
November 08 2017 - 14:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c108.0.863.863/20633256_1829945270669219_9153443982091485184_n.jpg,http://picbear.com/media/1576445602060279189_1429649029,November 08 2017 - 14:15,August 08 2017 - 02:03,,234,2
November 08 2017 - 14:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/20633392_343240482779406_7534355862572236800_n.jpg,http://picbear.com/media/1573559652900558218_1429649029,November 08 2017 - 14:15,August 04 2017 - 02:29,,190,1
November 08 2017 - 14:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/20398299_275976116217005_3487279755181424640_n.jpg,http://picbear.com/media/1570657608468459923_1429649029,November 08 2017 - 14:15,July 31 2017 - 02:23,"<p>Kodai# <a href=""http://picbear.com/saifu_madhuvai"" title=""saifu_madhuvai instagram profile"">@saifu_madhuvai</a> <a href=""http://picbear.com/jahirmohammedali"" title=""jahirmohammedali instagram profile"">@jahirmohammedali</a></p>",155,1
November 08 2017 - 14:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20214049_1262062627237516_7530243641839714304_n.jpg,http://picbear.com/media/1566306835278190244_1429649029,November 08 2017 - 14:15,July 25 2017 - 02:19,"<p><a href=""http://picbear.com/tag/solo2"" title=""posts tagged as solo2"">#solo2</a>#🤑🎧🎼🎼</p>",137,0
November 08 2017 - 14:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20184245_1336730123088854_3164013050168606720_n.jpg,http://picbear.com/media/1563436583829643743_1429649029,November 08 2017 - 14:15,July 21 2017 - 03:16,"<p><a href=""http://picbear.com/nihalkavungal"" title=""nihalkavungal instagram profile"">@nihalkavungal</a>#</p>",126,4
