user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 11:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/23161169_234528973748906_6201182771054903296_n.jpg,http://picbear.com/media/1641500629526610755_10126276,November 08 2017 - 11:52,November 05 2017 - 20:15,"<p>Hellfire club <a href=""http://picbear.com/tag/sundayfunday"" title=""posts tagged as sundayfunday"">#sundayfunday</a></p>",21,1
November 08 2017 - 11:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c119.0.841.841/23098601_553099761702202_8226401353111437312_n.jpg,http://picbear.com/media/1635869557791006871_10126276,November 08 2017 - 11:52,October 29 2017 - 01:47,"<p>Romans and their pillars. Piazza San Pietro, Rome.</p>",22,2
November 08 2017 - 11:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c175.0.729.729/22860949_394544767630615_5576296795065024512_n.jpg,http://picbear.com/media/1635851298534405406_10126276,November 08 2017 - 11:52,October 29 2017 - 01:11,"<p>Giants Causeway, Belfast.</p>",37,0
November 08 2017 - 11:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639156_124361908253225_7561888247912071168_n.jpg,http://picbear.com/media/1632207098374937724_10126276,November 08 2017 - 11:52,October 24 2017 - 00:31,"<p>Gilded ceilings of the Vatican halls. . . . . . <a href=""http://picbear.com/tag/vatican"" title=""posts tagged as vatican"">#vatican</a> <a href=""http://picbear.com/tag/church"" title=""posts tagged as church"">#church</a> <a href=""http://picbear.com/tag/rome"" title=""posts tagged as rome"">#rome</a> <a href=""http://picbear.com/tag/italy"" title=""posts tagged as italy"">#italy</a> <a href=""http://picbear.com/tag/mass"" title=""posts tagged as mass"">#mass</a> <a href=""http://picbear.com/tag/catholic"" title=""posts tagged as catholic"">#catholic</a> <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/weekend"" title=""posts tagged as weekend"">#weekend</a> <a href=""http://picbear.com/tag/ceiling"" title=""posts tagged as ceiling"">#ceiling</a> <a href=""http://picbear.com/tag/art"" title=""posts tagged as art"">#art</a> <a href=""http://picbear.com/tag/gold"" title=""posts tagged as gold"">#gold</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a> <a href=""http://picbear.com/tag/colours"" title=""posts tagged as colours"">#colours</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/hall"" title=""posts tagged as hall"">#hall</a></p>",43,2
November 08 2017 - 11:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22639294_185759475324551_843690838616702976_n.jpg,http://picbear.com/media/1632178526784430779_10126276,November 08 2017 - 11:52,October 23 2017 - 23:34,<p>Sunset in Rome.</p>,18,0
November 08 2017 - 11:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19984959_1241361659320581_2458722687942393856_n.jpg,http://picbear.com/media/1556100248017867459_10126276,November 08 2017 - 11:52,July 11 2017 - 00:20,<p>Cupcakes are life. 😍</p>,38,4
November 08 2017 - 11:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19933116_330460460742426_3798272903951155200_n.jpg,http://picbear.com/media/1555067022524606541_10126276,November 08 2017 - 11:52,July 09 2017 - 14:07,<p>Frida Kahlo. Street art.</p>,16,1
November 08 2017 - 11:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19931925_305881706526465_8745762061402767360_n.jpg,http://picbear.com/media/1555050427702201033_10126276,November 08 2017 - 11:52,July 09 2017 - 13:34,<p>Costa del 'mines.</p>,55,8
November 08 2017 - 11:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c79.0.921.921/19932687_1346914422024723_532464477417766912_n.jpg,http://picbear.com/media/1552347788820418032_10126276,November 08 2017 - 11:52,July 05 2017 - 20:04,"<p>Fresh 🦀🐠🐡. Howth, Dublin. <a href=""http://picbear.com/tag/fish"" title=""posts tagged as fish"">#fish</a> <a href=""http://picbear.com/tag/howth"" title=""posts tagged as howth"">#howth</a> <a href=""http://picbear.com/tag/dublin"" title=""posts tagged as dublin"">#dublin</a></p>",12,2
November 08 2017 - 11:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19228369_322583831510177_2400528019975307264_n.jpg,http://picbear.com/media/1541591453875264422_10126276,November 08 2017 - 11:52,June 20 2017 - 23:54,"<p>Collectors items, Prague.</p>",9,0
