user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22500536_125117864863191_2290354850338177024_n.jpg,http://picbear.com/media/1628287106269037055_4008412484,November 08 2017 - 12:24,October 18 2017 - 14:42,"<p><a href=""http://picbear.com/tag/the"" title=""posts tagged as the"">#the</a> <a href=""http://picbear.com/tag/time"" title=""posts tagged as time"">#time</a> <a href=""http://picbear.com/tag/is"" title=""posts tagged as is"">#is</a> <a href=""http://picbear.com/tag/now"" title=""posts tagged as now"">#now</a> .........#bhambhu</p>",77,3
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c67.0.945.945/22071039_346531302458240_6440948280972017664_n.jpg,http://picbear.com/media/1615330873127953326_4008412484,November 08 2017 - 12:24,September 30 2017 - 17:41,"<p><a href=""http://picbear.com/tag/sardarshahar"" title=""posts tagged as sardarshahar"">#sardarshahar</a></p>",63,2
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c108.0.864.864/21576900_876185289198586_3899353387304484864_n.jpg,http://picbear.com/media/1601385817702451044_4008412484,November 08 2017 - 12:24,September 11 2017 - 11:54,"<p>ਜ਼ਿੰਦਗੀ ਮੁਸ਼ਕਿਲ ਏ ਹਰ ਮੋੜ ਤੇ ਜਿੱਤ ਮਿਲਦੀ ਏ ਹਮੇਸ਼ਾ ਆਪਣੇ ਜੋਰ ਤੇ✌ <a href=""http://picbear.com/tag/bhambhu"" title=""posts tagged as bhambhu"">#bhambhu</a></p>",78,5
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.20.1080.1080/21224803_1593282097383416_7272690851283730432_n.jpg,http://picbear.com/media/1594197298383077863_4008412484,November 08 2017 - 12:24,September 01 2017 - 13:52,"<p>Tujhe Hai Maanga Har Dua Khuda Bhi Khud Hai Ab Gawaah.... <a href=""http://picbear.com/tag/bhambhu"" title=""posts tagged as bhambhu"">#bhambhu</a></p>",64,1
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21149830_277500662733896_4426316668746072064_n.jpg,http://picbear.com/media/1592783684405200775_4008412484,November 08 2017 - 12:24,August 30 2017 - 15:03,"<p>उम्र छोटी है तो क्या, ज़िंदगी का हरेक मंज़र देखा है, फरेबी मुस्कुराहटें देखी हैं, बगल में खंजर देखा है! <a href=""http://picbear.com/tag/bhambhu"" title=""posts tagged as bhambhu"">#bhambhu</a></p>",65,1
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c229.0.621.621/20837026_674863159377638_6615113186259501056_n.jpg,http://picbear.com/media/1581621282984797620_4008412484,November 08 2017 - 12:24,August 15 2017 - 05:26,"<p>जाने कितने झूले थें फांसी पर, कितनों ने गोली खाई थीं क्यों झूठ बोलते हो साहब, की चरखे से आजादी आई थीं <a href=""http://picbear.com/tag/salaamshahidannu"" title=""posts tagged as salaamshahidannu"">#salaamshahidannu</a> <a href=""http://picbear.com/tag/bhambhu"" title=""posts tagged as bhambhu"">#bhambhu</a></p>",82,4
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c69.0.941.941/20214548_1484688568236361_3540940372203012096_n.jpg,http://picbear.com/media/1565304236667973160_4008412484,November 08 2017 - 12:24,July 23 2017 - 17:07,"<p>Onve hee pyar tera, Pallan vich ghatt geya... <a href=""http://picbear.com/tag/bhambhu"" title=""posts tagged as bhambhu"">#bhambhu</a></p>",85,4
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/18513044_1479963292049164_1473242059623104512_n.jpg,http://picbear.com/media/1516021116156587337_4008412484,November 08 2017 - 12:24,May 16 2017 - 17:10,"<p>Unjh maadiyan te bhawein mathe diyan leekan ne, Tere yaar nu ajje v teriyan udeekan ne.....</p>",129,2
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.719.719/18252863_1493643717354429_3781515900067250176_n.jpg,http://picbear.com/media/1508104382095515867_4008412484,November 08 2017 - 12:24,May 05 2017 - 19:01,"<p>ਫੇਸਬੁਕ ਤੇ ਗੱਲਾਂ ਕਰਦੀ ਰਹੀ , ਮੇਰੇ ਤੇ ਥੌੜਾ ਜਿਹਾ ਮਰਦੀ ਰਹੀ, ਕੁਝ ਮਾਪਿਆਂ ਦਾ ਸੀ ਖਿਆਲ ਉਹਨੂੰ, ਕੁਝ ਦੁਨੀਆ ਕੋਲੋਂ ਡਰਦੀ ਰਹੀ....</p>",100,3
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/17661772_263578564103246_973359135393316864_n.jpg,http://picbear.com/media/1488503347211285949_4008412484,November 08 2017 - 12:24,April 08 2017 - 17:57,"<p>""ਦਿਲ ਵਿਚ ਵੱਸ ਗਈ ਆ ਤੂੰ ਨਖਰੋ.. ਵੇਖੇਯਾ ਬਗੇਰ ਤੇਰਾ ਮੂਹ ਨਖਰੋ .. ਲੰਗਦਾ ਨਾ ਦਿਨ ਸਾਡੀ ਲੰਗਦੀ ਨਾ ਸ਼ਾਮ.. ਤੂੰ ਹੀ ਸਾਡੀ ਸੋਹਣੀਏ ਨੀ Good Luck charm""</p>",106,3
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.900.900/17494283_1910912665862243_8099994581484961792_n.jpg,http://picbear.com/media/1478362633466856365_4008412484,November 08 2017 - 12:24,March 25 2017 - 18:09,"<p>Saadi koshish hasne di, tu fer rula gai ae Asi pehla hi kalle si, tu ehsaas kra gai ae....</p>",96,4
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17076521_752671964913921_2620192601910804480_n.jpg,http://picbear.com/media/1461137632212894574_4008412484,November 08 2017 - 12:24,March 01 2017 - 23:46,<p>I don't have to prove you wrong I'm proving myself right.</p>,87,1
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/16908591_869903046482534_2426338282343235584_n.jpg,http://picbear.com/media/1458781384607902288_4008412484,November 08 2017 - 12:24,February 26 2017 - 17:45,"<p>You may many many miles away from me, but all i need to do is close my eyes to feel as if you are sitting right here with me.</p>",74,1
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/16463999_1280645348687703_4810882487037198336_n.jpg,http://picbear.com/media/1457985694931713846_4008412484,November 08 2017 - 12:24,February 25 2017 - 15:24,<p>I am sitting here thinking of how much I enjoyed our last moment together and how much I can’t wait until the next. I love and miss you very much.</p>,73,1
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/16465520_1766823739998239_1567429502718443520_n.jpg,http://picbear.com/media/1454806408640961151_4008412484,November 08 2017 - 12:24,February 21 2017 - 06:07,"<p>Kehnde uchia haweliyan,🏠 car-an 🚗 lamia te saheliyan, veere palle sade kakh ni,💃 yaaran beliyan de beli aa.✌</p>",85,1
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c157.0.405.405/16585317_1806525932946300_2298677053848813568_n.jpg,http://picbear.com/media/1450389947382224975_4008412484,November 08 2017 - 12:24,February 15 2017 - 03:52,"<p>Tu taan mera phone v na chak di rakane,mere tera time chak chak yaar tut gaye...</p>",74,0
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/16585637_248180785632979_7788259039028183040_n.jpg,http://picbear.com/media/1447867815146082984_4008412484,November 08 2017 - 12:24,February 11 2017 - 16:21,"<p>ਹੋਇਆ ਕੀ ਜੇ ਪਿੰਡਾਂ ਵਾਲੇ ਦੇਸੀ ਕਾਕੇ ਹਾਂ , ਜਣੀ ਖਣੀ ਦੇ ਨਾ ਅਸੀ ਲੈਂਦੇ ਝਾਕੇ ਹਾਂ....</p>",72,1
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c257.0.566.566/16465222_1430049490339546_6965576886910976000_n.jpg,http://picbear.com/media/1442754822137870104_4008412484,November 08 2017 - 12:24,February 04 2017 - 15:03,<p>The goal is to die with memories not dreams.</p>,54,1
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/16123832_250302775381714_1388933333366341632_n.jpg,http://picbear.com/media/1440649537743254242_4008412484,November 08 2017 - 12:24,February 01 2017 - 17:20,<p>ਸੱਜਣਾ ਦੇ ਨਾਮ ਬਿਨਾ ਕੁਝ ਸਾਥੋਂ ਨਾ ਪੜ੍ਹ ਹੋਇਆ...</p>,66,0
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/16110307_254627254971663_3795886714610778112_n.jpg,http://picbear.com/media/1429736725848433655_4008412484,November 08 2017 - 12:24,January 17 2017 - 15:58,<p>When i dream i dream of you. Maybe one day dreams will come true bco'z i really love uh...</p>,66,1
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c196.0.687.687/15802553_1830362473916074_8931187576371412992_n.jpg,http://picbear.com/media/1418632809022856021_4008412484,November 08 2017 - 12:24,January 02 2017 - 08:17,"<p>कुछ#घूंट#नशे#की#ले#बैठी#कुछ#ले <a href=""http://picbear.com/tag/ब"" title=""posts tagged as ब"">#ब</a>ैठी<a href=""http://picbear.com/tag/त"" title=""posts tagged as त"">#त</a>ेरी<a href=""http://picbear.com/tag/य"" title=""posts tagged as य"">#य</a>ारी<a href=""http://picbear.com/tag/र"" title=""posts tagged as र"">#र</a>ै<a href=""http://picbear.com/tag/hooka"" title=""posts tagged as hooka"">#hooka</a><a href=""http://picbear.com/tag/न"" title=""posts tagged as न"">#न</a>े<a href=""http://picbear.com/tag/त"" title=""posts tagged as त"">#त</a>ौ<a href=""http://picbear.com/tag/बस"" title=""posts tagged as बस"">#बस</a><a href=""http://picbear.com/tag/भ"" title=""posts tagged as भ"">#भ</a>ीतरला# फूंकया#तैन#फूंकी#zinDagi#सारी#रै....#ßhambhu</p>",55,0
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/15625173_1303265473070132_583829451599511552_n.jpg,http://picbear.com/media/1415985397582251100_4008412484,November 08 2017 - 12:24,December 29 2016 - 16:37,,60,1
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/15624910_751573568341173_806589081457786880_n.jpg,http://picbear.com/media/1413681880011901428_4008412484,November 08 2017 - 12:24,December 26 2016 - 12:20,,41,2
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.79.720.720/15538644_740272402796475_3305041415184056320_n.jpg,http://picbear.com/media/1410915041058203313_4008412484,November 08 2017 - 12:24,December 22 2016 - 16:43,,56,1
November 08 2017 - 12:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/15403525_1172507242845707_3211244998796247040_n.jpg,http://picbear.com/media/1405166884420492292_4008412484,November 08 2017 - 12:24,December 14 2016 - 18:22,<p>Tere lai hee mangaan ikk rabb kolon saah ni ... vaasta khuda da mainu horr na satta ni...</p>,48,1
