user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 08 2017 - 11:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709542_169001883684235_6498441254362152960_n.jpg,http://picbear.com/media/1634178240490560973_2958941937,November 08 2017 - 11:32,October 26 2017 - 17:47,"<p>Piccadilly road, Hard Rock Cafe. First pint. Platinum Yellow Submarine of Beatles on the wall next to me starts to shine more brightly.Second pint. Freewheeling of Bob Marley is not just his Platinum, it's my life plan. Third pint and pasta. I feel I could riff on Michael Bloomfield's Fender that hangs above my head. Forth pint. Red greeneyed girl at the counter seems to be my next adventure tonight. My phone calling .. It's BOB, Big Obstinate Boss. Do you remember it's an hour to business review. Bob, what the ... BR, today is Friday. No man, today is Thursday. Bob, i'm in London, Friday starts on Thursday evening here. . . . <a href=""http://picbear.com/tag/piccadilly"" title=""posts tagged as piccadilly"">#piccadilly</a> <a href=""http://picbear.com/tag/rockcafe"" title=""posts tagged as rockcafe"">#rockcafe</a> <a href=""http://picbear.com/tag/hardrock"" title=""posts tagged as hardrock"">#hardrock</a> <a href=""http://picbear.com/tag/fender"" title=""posts tagged as fender"">#fender</a> <a href=""http://picbear.com/tag/guitar"" title=""posts tagged as guitar"">#guitar</a> <a href=""http://picbear.com/tag/bloomfield"" title=""posts tagged as bloomfield"">#bloomfield</a> <a href=""http://picbear.com/tag/vault"" title=""posts tagged as vault"">#vault</a> <a href=""http://picbear.com/tag/trapt"" title=""posts tagged as trapt"">#trapt</a> <a href=""http://picbear.com/tag/lifeplan"" title=""posts tagged as lifeplan"">#lifeplan</a> <a href=""http://picbear.com/tag/myboss"" title=""posts tagged as myboss"">#myboss</a> <a href=""http://picbear.com/tag/redgirl"" title=""posts tagged as redgirl"">#redgirl</a> <a href=""http://picbear.com/tag/beerrock"" title=""posts tagged as beerrock"">#beerrock</a> <a href=""http://picbear.com/tag/greenpark"" title=""posts tagged as greenpark"">#greenpark</a> <a href=""http://picbear.com/tag/parklane"" title=""posts tagged as parklane"">#parklane</a> <a href=""http://picbear.com/tag/mayfair"" title=""posts tagged as mayfair"">#mayfair</a> <a href=""http://picbear.com/tag/legendary"" title=""posts tagged as legendary"">#legendary</a> <a href=""http://picbear.com/tag/halloweenstyle"" title=""posts tagged as halloweenstyle"">#halloweenstyle</a> <a href=""http://picbear.com/tag/london"" title=""posts tagged as london"">#london</a> <a href=""http://picbear.com/tag/londonbeat"" title=""posts tagged as londonbeat"">#londonbeat</a> <a href=""http://picbear.com/tag/reward"" title=""posts tagged as reward"">#reward</a> <a href=""http://picbear.com/tag/businessreview"" title=""posts tagged as businessreview"">#businessreview</a> <a href=""http://picbear.com/tag/secondpint"" title=""posts tagged as secondpint"">#secondpint</a> <a href=""http://picbear.com/tag/platinum"" title=""posts tagged as platinum"">#platinum</a> <a href=""http://picbear.com/tag/zazzle"" title=""posts tagged as zazzle"">#zazzle</a> <a href=""http://picbear.com/tag/b2b"" title=""posts tagged as b2b"">#b2b</a> <a href=""http://picbear.com/tag/greeneyed"" title=""posts tagged as greeneyed"">#greeneyed</a> <a href=""http://picbear.com/tag/nextadventure"" title=""posts tagged as nextadventure"">#nextadventure</a></p>",27,3
November 08 2017 - 11:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22220573_142448226368951_3144927710153801728_n.jpg,http://picbear.com/media/1617128004098332925_2958941937,November 08 2017 - 11:32,October 03 2017 - 05:11,"<p>This has begun from the very morning, when some elder man asked me at the sub what station i'm going to get out. Then it was monologue about young years he spent next to my station starting from his grandma pies and going on with description of his girlfriend's hips. So I had been forced to get out two stations earlier. Not bad to walk on this warm Monday. I was completely relaxed when somewhere right ""Smile, Jesus loves you"" was sounded . It was a mistake to say ""Thanks"". 200 meters i was listening the story about holy family living right round the corner and 32$ they need to still alive today. Checks are accepted. Next one was the protester chasing me with ask to sign paper in favour of wading birds suffering from the hunters. I was stuck just i said I know this species. Finally I was so grateful to cop who reminded me ""You have the right to remain silent and refuse to answer questions"" after I ripped up that fucking protester's banner. . . . <a href=""http://picbear.com/tag/teestalk"" title=""posts tagged as teestalk"">#teestalk</a> <a href=""http://picbear.com/tag/tube"" title=""posts tagged as tube"">#tube</a> <a href=""http://picbear.com/tag/subway"" title=""posts tagged as subway"">#subway</a> <a href=""http://picbear.com/tag/roundthecorner"" title=""posts tagged as roundthecorner"">#roundthecorner</a></p>",19,0
November 08 2017 - 11:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21149484_1480263915345443_3983497813882306560_n.jpg,http://picbear.com/media/1593447043991358830_2958941937,November 08 2017 - 11:32,August 31 2017 - 13:01,"<p>It was a hard day starting from chasing the bus which has depurted 1 min before the schedule and continuing with several races to be in time with my work plan. As my bus has gone and Uber has sent me a wild message with something about route optimization I had to run 2 miles to the nearest taxi point. The was a bored driver which has refused to pick me up due his pleminary orders. So my next run was about 3 miles to the prospect's office, I've successfuly did it, but when the office guard saw me pale, heavy panting and sopping in sweat they call the police and there was the only good news that I've passed alcoghol and drug test. The police kindly gave me a ride to my next destination and it caused my next race when my tax advisor saw me getting out from police car. It takes approximately 1 mile to catch him up and half an hour to explain that everything is ok. Btw I was surprised by his athletic abilities. Trained well I've decided to run to my final destination, a restaurant, where</p>",39,8
November 08 2017 - 11:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20837708_543117609145205_1081677055252234240_n.jpg,http://picbear.com/media/1583821254354308682_2958941937,November 08 2017 - 11:32,August 18 2017 - 06:17,"<p><a href=""http://picbear.com/tag/teestalk"" title=""posts tagged as teestalk"">#teestalk</a> <a href=""http://picbear.com/tag/olario"" title=""posts tagged as olario"">#olario</a> <a href=""http://picbear.com/tag/praiacopacabana"" title=""posts tagged as praiacopacabana"">#praiacopacabana</a> <a href=""http://picbear.com/tag/copacabanabeach"" title=""posts tagged as copacabanabeach"">#copacabanabeach</a> <a href=""http://picbear.com/tag/mulattogirl"" title=""posts tagged as mulattogirl"">#mulattogirl</a> <a href=""http://picbear.com/tag/samboguy"" title=""posts tagged as samboguy"">#samboguy</a> <a href=""http://picbear.com/tag/sunseasand"" title=""posts tagged as sunseasand"">#sunseasand</a> <a href=""http://picbear.com/tag/sandsunsea"" title=""posts tagged as sandsunsea"">#sandsunsea</a> <a href=""http://picbear.com/tag/lovebrazil"" title=""posts tagged as lovebrazil"">#lovebrazil</a> <a href=""http://picbear.com/tag/myrio"" title=""posts tagged as myrio"">#myrio</a> <a href=""http://picbear.com/tag/cubancigar"" title=""posts tagged as cubancigar"">#cubancigar</a> <a href=""http://picbear.com/tag/kingpele"" title=""posts tagged as kingpele"">#kingpele</a> <a href=""http://picbear.com/tag/lovecarnival"" title=""posts tagged as lovecarnival"">#lovecarnival</a> <a href=""http://picbear.com/tag/hotsummer"" title=""posts tagged as hotsummer"">#hotsummer</a> <a href=""http://picbear.com/tag/pajama"" title=""posts tagged as pajama"">#pajama</a> <a href=""http://picbear.com/tag/pyjama"" title=""posts tagged as pyjama"">#pyjama</a> <a href=""http://picbear.com/tag/jammies"" title=""posts tagged as jammies"">#jammies</a> <a href=""http://picbear.com/tag/riogirls"" title=""posts tagged as riogirls"">#riogirls</a> <a href=""http://picbear.com/tag/loverio"" title=""posts tagged as loverio"">#loverio</a> <a href=""http://picbear.com/tag/fizz"" title=""posts tagged as fizz"">#fizz</a> <a href=""http://picbear.com/tag/gotorio"" title=""posts tagged as gotorio"">#gotorio</a> <a href=""http://picbear.com/tag/magicboobs"" title=""posts tagged as magicboobs"">#magicboobs</a> <a href=""http://picbear.com/tag/bluetattoo"" title=""posts tagged as bluetattoo"">#bluetattoo</a> <a href=""http://picbear.com/tag/trendyslip"" title=""posts tagged as trendyslip"">#trendyslip</a> <a href=""http://picbear.com/tag/travelplan"" title=""posts tagged as travelplan"">#travelplan</a> <a href=""http://picbear.com/tag/sunofrio"" title=""posts tagged as sunofrio"">#sunofrio</a> <a href=""http://picbear.com/tag/purechica"" title=""posts tagged as purechica"">#purechica</a> <a href=""http://picbear.com/tag/chicas"" title=""posts tagged as chicas"">#chicas</a></p>",36,3
November 08 2017 - 11:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20687351_261394171040884_5802857312066469888_n.jpg,http://picbear.com/media/1578006092057826153_2958941937,November 08 2017 - 11:32,August 10 2017 - 05:43,"<p><a href=""http://picbear.com/tag/teestalk"" title=""posts tagged as teestalk"">#teestalk</a> <a href=""http://picbear.com/tag/jungletelegraph"" title=""posts tagged as jungletelegraph"">#jungletelegraph</a> <a href=""http://picbear.com/tag/doubleirish"" title=""posts tagged as doubleirish"">#doubleirish</a> <a href=""http://picbear.com/tag/doublewhiskey"" title=""posts tagged as doublewhiskey"">#doublewhiskey</a> <a href=""http://picbear.com/tag/crowdedbar"" title=""posts tagged as crowdedbar"">#crowdedbar</a> <a href=""http://picbear.com/tag/newbar"" title=""posts tagged as newbar"">#newbar</a> <a href=""http://picbear.com/tag/openingparty"" title=""posts tagged as openingparty"">#openingparty</a> <a href=""http://picbear.com/tag/seo"" title=""posts tagged as seo"">#seo</a> <a href=""http://picbear.com/tag/marketingrules"" title=""posts tagged as marketingrules"">#marketingrules</a> <a href=""http://picbear.com/tag/ceo"" title=""posts tagged as ceo"">#ceo</a> <a href=""http://picbear.com/tag/robusto"" title=""posts tagged as robusto"">#robusto</a> <a href=""http://picbear.com/tag/spree"" title=""posts tagged as spree"">#spree</a> <a href=""http://picbear.com/tag/communicationchannel"" title=""posts tagged as communicationchannel"">#communicationchannel</a> <a href=""http://picbear.com/tag/irishcoffee"" title=""posts tagged as irishcoffee"">#irishcoffee</a> <a href=""http://picbear.com/tag/coffeecup"" title=""posts tagged as coffeecup"">#coffeecup</a> <a href=""http://picbear.com/tag/irishwhiskey"" title=""posts tagged as irishwhiskey"">#irishwhiskey</a> <a href=""http://picbear.com/tag/bestcigars"" title=""posts tagged as bestcigars"">#bestcigars</a> <a href=""http://picbear.com/tag/eaudevie"" title=""posts tagged as eaudevie"">#eaudevie</a> <a href=""http://picbear.com/tag/bestbar"" title=""posts tagged as bestbar"">#bestbar</a> <a href=""http://picbear.com/tag/usquebaugh"" title=""posts tagged as usquebaugh"">#usquebaugh</a> <a href=""http://picbear.com/tag/businessplan"" title=""posts tagged as businessplan"">#businessplan</a> <a href=""http://picbear.com/tag/businessconsulting"" title=""posts tagged as businessconsulting"">#businessconsulting</a> <a href=""http://picbear.com/tag/downtown"" title=""posts tagged as downtown"">#downtown</a> <a href=""http://picbear.com/tag/reallife"" title=""posts tagged as reallife"">#reallife</a> <a href=""http://picbear.com/tag/walmart"" title=""posts tagged as walmart"">#walmart</a> <a href=""http://picbear.com/tag/seo"" title=""posts tagged as seo"">#seo</a></p>",70,6
November 08 2017 - 11:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20481913_155096525045423_8569549667895869440_n.jpg,http://picbear.com/media/1572204350460304385_2958941937,November 08 2017 - 11:32,August 02 2017 - 05:36,"<p><a href=""http://picbear.com/tag/teestalk"" title=""posts tagged as teestalk"">#teestalk</a> <a href=""http://picbear.com/tag/gadget"" title=""posts tagged as gadget"">#gadget</a> <a href=""http://picbear.com/tag/computer"" title=""posts tagged as computer"">#computer</a> <a href=""http://picbear.com/tag/digitalization"" title=""posts tagged as digitalization"">#digitalization</a> <a href=""http://picbear.com/tag/digitizeordie"" title=""posts tagged as digitizeordie"">#digitizeordie</a> <a href=""http://picbear.com/tag/webera"" title=""posts tagged as webera"">#webera</a> <a href=""http://picbear.com/tag/internet"" title=""posts tagged as internet"">#internet</a> <a href=""http://picbear.com/tag/database"" title=""posts tagged as database"">#database</a> <a href=""http://picbear.com/tag/network"" title=""posts tagged as network"">#network</a> <a href=""http://picbear.com/tag/wearable"" title=""posts tagged as wearable"">#wearable</a> <a href=""http://picbear.com/tag/digitalworld"" title=""posts tagged as digitalworld"">#digitalworld</a> <a href=""http://picbear.com/tag/3dprint"" title=""posts tagged as 3dprint"">#3dprint</a> <a href=""http://picbear.com/tag/condom"" title=""posts tagged as condom"">#condom</a> <a href=""http://picbear.com/tag/valise"" title=""posts tagged as valise"">#valise</a> <a href=""http://picbear.com/tag/madness"" title=""posts tagged as madness"">#madness</a> <a href=""http://picbear.com/tag/datacenter"" title=""posts tagged as datacenter"">#datacenter</a></p>",71,6
November 08 2017 - 11:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20225565_1905410469713754_2072524013279641600_n.jpg,http://picbear.com/media/1566002781767099060_2958941937,November 08 2017 - 11:32,July 24 2017 - 16:15,"<p><a href=""http://picbear.com/tag/teestalk"" title=""posts tagged as teestalk"">#teestalk</a> <a href=""http://picbear.com/tag/basketball"" title=""posts tagged as basketball"">#basketball</a> <a href=""http://picbear.com/tag/lessons"" title=""posts tagged as lessons"">#lessons</a> <a href=""http://picbear.com/tag/ingenious"" title=""posts tagged as ingenious"">#ingenious</a> <a href=""http://picbear.com/tag/classmates"" title=""posts tagged as classmates"">#classmates</a> <a href=""http://picbear.com/tag/disco"" title=""posts tagged as disco"">#disco</a> <a href=""http://picbear.com/tag/falks"" title=""posts tagged as falks"">#falks</a> <a href=""http://picbear.com/tag/duties"" title=""posts tagged as duties"">#duties</a> <a href=""http://picbear.com/tag/buddies"" title=""posts tagged as buddies"">#buddies</a> <a href=""http://picbear.com/tag/puffing"" title=""posts tagged as puffing"">#puffing</a> <a href=""http://picbear.com/tag/thefu"" title=""posts tagged as thefu"">#thefu</a> <a href=""http://picbear.com/tag/impressions"" title=""posts tagged as impressions"">#impressions</a> <a href=""http://picbear.com/tag/biz"" title=""posts tagged as biz"">#biz</a> <a href=""http://picbear.com/tag/unclelawyer"" title=""posts tagged as unclelawyer"">#unclelawyer</a> <a href=""http://picbear.com/tag/businessplan"" title=""posts tagged as businessplan"">#businessplan</a> #onthecontrary.  <a href=""http://picbear.com/tag/onthebeach"" title=""posts tagged as onthebeach"">#onthebeach</a> <a href=""http://picbear.com/tag/sipping"" title=""posts tagged as sipping"">#sipping</a> <a href=""http://picbear.com/tag/pinacolada"" title=""posts tagged as pinacolada"">#pinacolada</a> <a href=""http://picbear.com/tag/eastcoastbooty"" title=""posts tagged as eastcoastbooty"">#eastcoastbooty</a> <a href=""http://picbear.com/tag/carouse"" title=""posts tagged as carouse"">#carouse</a> <a href=""http://picbear.com/tag/sunandsea"" title=""posts tagged as sunandsea"">#sunandsea</a> <a href=""http://picbear.com/tag/nicegirls"" title=""posts tagged as nicegirls"">#nicegirls</a> <a href=""http://picbear.com/tag/miamiflorida"" title=""posts tagged as miamiflorida"">#miamiflorida</a> <a href=""http://picbear.com/tag/wynwoodwalss"" title=""posts tagged as wynwoodwalss"">#wynwoodwalss</a></p>",45,4
November 08 2017 - 11:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20065851_1941530119420188_502639494369902592_n.jpg,http://picbear.com/media/1561630911982790036_2958941937,November 08 2017 - 11:32,July 18 2017 - 15:28,"<p><a href=""http://picbear.com/tag/teestalk"" title=""posts tagged as teestalk"">#teestalk</a> <a href=""http://picbear.com/tag/fortknox"" title=""posts tagged as fortknox"">#fortknox</a> <a href=""http://picbear.com/tag/finegold"" title=""posts tagged as finegold"">#finegold</a> <a href=""http://picbear.com/tag/kentucky"" title=""posts tagged as kentucky"">#kentucky</a> <a href=""http://picbear.com/tag/louisville"" title=""posts tagged as louisville"">#louisville</a> <a href=""http://picbear.com/tag/bullion"" title=""posts tagged as bullion"">#bullion</a> <a href=""http://picbear.com/tag/depository"" title=""posts tagged as depository"">#depository</a> <a href=""http://picbear.com/tag/treasury"" title=""posts tagged as treasury"">#treasury</a> <a href=""http://picbear.com/tag/elizabethtown"" title=""posts tagged as elizabethtown"">#elizabethtown</a> <a href=""http://picbear.com/tag/dreamer"" title=""posts tagged as dreamer"">#dreamer</a> <a href=""http://picbear.com/tag/goldbullion"" title=""posts tagged as goldbullion"">#goldbullion</a> <a href=""http://picbear.com/tag/unclesam"" title=""posts tagged as unclesam"">#unclesam</a> <a href=""http://picbear.com/tag/yachtsandgirls"" title=""posts tagged as yachtsandgirls"">#yachtsandgirls</a> <a href=""http://picbear.com/tag/cosseting"" title=""posts tagged as cosseting"">#cosseting</a></p>",39,5
November 08 2017 - 11:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19955085_185574418646495_1621694155350605824_n.jpg,http://picbear.com/media/1555906673078499956_2958941937,November 08 2017 - 11:32,July 10 2017 - 17:55,"<p><a href=""http://picbear.com/tag/thelasvegas"" title=""posts tagged as thelasvegas"">#thelasvegas</a> <a href=""http://picbear.com/tag/casinos"" title=""posts tagged as casinos"">#casinos</a> <a href=""http://picbear.com/tag/mandalaybay"" title=""posts tagged as mandalaybay"">#mandalaybay</a> <a href=""http://picbear.com/tag/jackpot"" title=""posts tagged as jackpot"">#jackpot</a> <a href=""http://picbear.com/tag/teestalk"" title=""posts tagged as teestalk"">#teestalk</a> <a href=""http://picbear.com/tag/luckybeggar"" title=""posts tagged as luckybeggar"">#luckybeggar</a> <a href=""http://picbear.com/tag/palmbeach"" title=""posts tagged as palmbeach"">#palmbeach</a> <a href=""http://picbear.com/tag/roulette"" title=""posts tagged as roulette"">#roulette</a> <a href=""http://picbear.com/tag/joker"" title=""posts tagged as joker"">#joker</a> <a href=""http://picbear.com/tag/poker"" title=""posts tagged as poker"">#poker</a> <a href=""http://picbear.com/tag/winner"" title=""posts tagged as winner"">#winner</a> <a href=""http://picbear.com/tag/gaming"" title=""posts tagged as gaming"">#gaming</a> <a href=""http://picbear.com/tag/slotmachine"" title=""posts tagged as slotmachine"">#slotmachine</a> <a href=""http://picbear.com/tag/cigar"" title=""posts tagged as cigar"">#cigar</a> <a href=""http://picbear.com/tag/bigluck"" title=""posts tagged as bigluck"">#bigluck</a></p>",60,4
November 08 2017 - 11:32,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19622995_1412159172201756_6827134667733336064_n.jpg,http://picbear.com/media/1551529160151728831_2958941937,November 08 2017 - 11:32,July 04 2017 - 16:58,"<p><a href=""http://picbear.com/tag/plana"" title=""posts tagged as plana"">#plana</a> #tshirt. I'm going to be #drunktonight. <a href=""http://picbear.com/tag/cleartarget"" title=""posts tagged as cleartarget"">#cleartarget</a> is #halfofsuccess. As <a href=""http://picbear.com/tag/famous"" title=""posts tagged as famous"">#famous</a> <a href=""http://picbear.com/tag/mlb"" title=""posts tagged as mlb"">#mlb</a> <a href=""http://picbear.com/tag/pitcher"" title=""posts tagged as pitcher"">#pitcher</a> <a href=""http://picbear.com/tag/tugmcgraw"" title=""posts tagged as tugmcgraw"">#tugmcgraw</a> said <a href=""http://picbear.com/tag/ninety"" title=""posts tagged as ninety"">#ninety</a> <a href=""http://picbear.com/tag/percent"" title=""posts tagged as percent"">#percent</a> Ill spend on <a href=""http://picbear.com/tag/goodtimes"" title=""posts tagged as goodtimes"">#goodtimes</a>, <a href=""http://picbear.com/tag/girls"" title=""posts tagged as girls"">#girls</a>, and <a href=""http://picbear.com/tag/irishwhiskey"" title=""posts tagged as irishwhiskey"">#irishwhiskey</a> , the other <a href=""http://picbear.com/tag/tenpercent"" title=""posts tagged as tenpercent"">#tenpercent</a> Ill probably waste.</p>",43,3
